Ursprunglig namnsträng;Matchningsstatus;Taxon-id;Vetenskapligt namn;Auktor;Vetenskapliga synonymer;Svensk förekomst
Epinotia crenana;Exact;215073;Epinotia crenana;(Hübner, 1817);;Bofast och reproducerande
Ancylis myrtillana;Exact;215159;Ancylis myrtillana;(Treitschke, 1830);blåbärsikelvecklare;Bofast och reproducerande
Orthotaenia undulana;Exact;215001;Orthotaenia undulana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Epinotia tedella;Exact;215084;Epinotia tedella;(Clerck, 1759);Phalaena tedella Clerck, 1759;Bofast och reproducerande
Eana incanana;Exact;214914;Eana incanana;(Stephens, 1852);mörk gulfläckgråvecklare;Bofast och reproducerande
Epinotia mercuriana;Exact;215071;Epinotia mercuriana;(Frölich, 1828);;Bofast och reproducerande
Rhopobota naevana;Exact;215054;Rhopobota naevana;(Hübner, 1817);sotfläckvecklare;Bofast och reproducerande
Olethreutes glaciana;NoMatch;;;;;
Epinotia cruciana;Exact;215069;Epinotia cruciana;(Linnaeus, 1761);;Bofast och reproducerande
Epagoge grotiana;Exact;214931;Epagoge grotiana;(Fabricius, 1781);;Bofast och reproducerande
Syndemis musculana;Exact;214954;Syndemis musculana;(Hübner, 1799);;Bofast och reproducerande
Zeiraphera isertana;Exact;215091;Zeiraphera isertana;(Fabricius, 1794);;Bofast och reproducerande
Cydia strobilella;Exact;215190;Cydia strobilella;(Linnaeus, 1758);"grankottvecklare; Phalaena strobilella Linnaeus, 1758";Bofast och reproducerande
Epinotia trigonella;Exact;215060;Epinotia trigonella;(Linnaeus, 1758);;Bofast och reproducerande
Epinotia tenerana;Exact;215080;Epinotia tenerana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Epinotia gimmerthaliana;Exact;215070;Epinotia gimmerthaliana;(Lienig & Zeller, 1846);;Bofast och reproducerande
Lathronympha strigana;Exact;215201;Lathronympha strigana;(Fabricius, 1775);johannesörtvecklare;Bofast och reproducerande
Apotomis infida;Exact;214988;Apotomis infida;(Heinrich, 1926);;Bofast och reproducerande
Cnephasia asseclana;Exact;214920;Cnephasia asseclana;(Denis & Schiffermüller, 1775);"utbredd gråvecklare; linskottvecklare; Tortrix asseclana Denis & Schiffermüller, 1775; Cnephasia interjectana Haworth, 1811; Cnephasia virgaureana Treitschke, 1835";Bofast och reproducerande
Dichrorampha simpliciana;Exact;215231;Dichrorampha simpliciana;(Haworth, 1811);;Bofast och reproducerande
Hedya pruniana;Exact;215004;Hedya pruniana;(Hübner, 1799);stenfruktvecklare;Bofast och reproducerande
Agapeta hamana;Exact;214836;Agapeta hamana;(Linnaeus, 1758);;Bofast och reproducerande
Ancylis unguicella;Exact;215148;Ancylis unguicella;(Linnaeus, 1758);;Bofast och reproducerande
Eana osseana;Exact;214912;Eana osseana;(Scopoli, 1763);;Bofast och reproducerande
Notocelia uddmanniana;Exact;215131;Notocelia uddmanniana;(Linnaeus, 1758);;Bofast och reproducerande
Clepsis spectrana;Exact;214963;Clepsis spectrana;(Treitschke, 1830);sumpmarksnedbandvecklare;Bofast och reproducerande
Aphelia paleana;Exact;214956;Zelotherses paleana;(Hübner, 1793);"Tortrix paleana Hübner, 1793; timotejvecklare; Aphelia paleana (Hübner, 1793)";Bofast och reproducerande
