Ursprunglig namnsträng;Matchningsstatus;Taxon-id;Vetenskapligt namn;Auktor;Vetenskapliga synonymer;Svensk förekomst
Macaria loricaria;Exact;215556;Macaria loricaria;(Eversmann, 1837);"Itame loricaria (Eversmann, 1837); Fidonia loricaria Eversmann, 1837";Bofast och reproducerande
Swammerdamia caesiella;Exact;214141;Swammerdamia caesiella;(Hübner, 1796);"Tinea caesiella Hübner, 1796; Swammerdamia heroldella Hübner, 1825";Bofast och reproducerande
Phiaris umbrosana;Exact;215018;Phiaris umbrosana;(Freyer, 1842);umbrabrokvecklare;Bofast och reproducerande
Celypha tiedemanniana;Exact;215013;Celypha tiedemanniana;(Zeller, 1845);;Bofast och reproducerande
Ancylis subarcuana;Exact;215155;Ancylis subarcuana;(Douglas, 1847);halvvågsikelvecklare;Bofast och reproducerande
Telechrysis tripuncta;Exact;214416;Telechrysis tripuncta;(Haworth, 1828);trepunktpraktmal;Bofast och reproducerande
Dahlica triquetrella;Exact;213992;Dahlica triquetrella;(Hübner, 1813);Tinea triquetrella Hübner, 1813;Bofast och reproducerande
Proutia norvegica;Exact;214003;Proutia norvegica;(Heylaerts, 1882);"Bruandia norvegica (Schöyen, 1880); Proutia norvegica (Schöyen, 1880); Anaproutia norvegica (Schöyen, 1880); Fumea norvegica Heylaerts, 1882; norsk säckspinnare; Anaproutia norvegica (Lewin, 1949)";Bofast och reproducerande
Klimeschiopsis kiningerella;Exact;214731;Klimeschiopsis kiningerella;(Duponchel, 1843);;Bofast och reproducerande
Coptotriche heinemanni;Exact;213935;Coptotriche heinemanni;(Wocke, 1871);"Tischeria heinemanni Wocke, 1871; björnbärspannluggmal; Emmetia heinemanni Wocke, 1871";Bofast och reproducerande
Argyroploce roseomaculana;Exact;215038;Argyroploce roseomaculana;(Herrich-Schäffer, 1851);;Bofast och reproducerande
Stigmella saliciscluster2;NoMatch;;;;;
Telechrysis tripuncta;Exact;214416;Telechrysis tripuncta;(Haworth, 1828);trepunktpraktmal;Bofast och reproducerande
Stigmella saliciscluster6;NoMatch;;;;;
Ochsenheimeria sp.;NoMatch;;;;;
Telechrysis tripuncta;Exact;214416;Telechrysis tripuncta;(Haworth, 1828);trepunktpraktmal;Bofast och reproducerande
Telechrysis tripuncta;Exact;214416;Telechrysis tripuncta;(Haworth, 1828);trepunktpraktmal;Bofast och reproducerande
