Taxon id;Global sorteringsordning;Vetenskapligt namn;Auktor;Svenskt namn;Taxonstatus;Taxonkategori;Svensk förekomst;Svensk invandringshistoria;Rike;Fylum;Klass;Ordning;Familj;Släkte;Småart;Art;Andra identifierare;Andra vetenskapliga namn;Andra svenska namn;Andra namn;Webbadress
213903;39577;Adela croesella;(Scopoli, 1763);buskantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Adela;;;GUID: urn:lsid:faunaeur.org:taxname:432340;phalaena croesella;;;https://dyntaxa.se/taxon/213903
213902;39578;Adela cuprella;(Denis & Schiffermüller, 1775);videantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Adela;;;GUID: urn:lsid:faunaeur.org:taxname:432335;tinea cuprella;;;https://dyntaxa.se/taxon/213902
213901;39579;Adela reaumurella;(Linnaeus, 1758);ekantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Adela;;;GUID: urn:lsid:faunaeur.org:taxname:432333;phalaena viridella, phalaena reaumurella;;;https://dyntaxa.se/taxon/213901
213904;39582;Cauchas breviantennella;Nielsen & Johansson, 1980;fjällantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Cauchas;;;GUID: urn:lsid:faunaeur.org:taxname:432313;;;;https://dyntaxa.se/taxon/213904
213905;39583;Cauchas fibulella;(Denis & Schiffermüller, 1775);dvärgantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Cauchas;;;GUID: urn:lsid:faunaeur.org:taxname:432314;tinea fibulella;;;https://dyntaxa.se/taxon/213905
213906;39585;Cauchas rufimitrella;(Scopoli, 1763);bräsmeantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Cauchas;;;GUID: urn:lsid:faunaeur.org:taxname:432320;phalaena rufimitrella;bäckbräsmeantennmal;;https://dyntaxa.se/taxon/213906
213895;39587;Nemophora amatella;(Staudinger, 1892);sibirisk antennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Nemophora;;;GUID: urn:lsid:faunaeur.org:taxname:432344;adela amatella, adela amurensis;;;https://dyntaxa.se/taxon/213895
213896;39588;Nemophora bellela;(Walker, 1863);dvärgbjörksantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Nemophora;;;GUID: urn:lsid:faunaeur.org:taxname:432346;nemophora belella, adela bellela, adela esmarkella;;;https://dyntaxa.se/taxon/213896
233224;39589;Nemophora congruella;(Zeller, 1839);barrantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Nemophora;;;GUID: urn:lsid:faunaeur.org:taxname:432349;adela congruella;;;https://dyntaxa.se/taxon/233224
101382;39590;Nemophora cupriacella;(Hübner, 1819);ängsväddsantennmal;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Arthropoda;Insecta;Lepidoptera;Adelidae;Nemophora;;;GUID: urn:lsid:faunaeur.org:taxname:432362;tinea cupriacella;ängsväddantennmal;;https://dyntaxa.se/taxon/101382
