CLUSTER_ID;STATUS;Provided string;Matching status;Taxon id;Scientific name;Author;Scientific synonyms;Swedish occurrence
Geometridae_cluster201;assigned;Abraxas sylvata;Exact;215544;Abraxas sylvata;(Scopoli, 1763);"Phalaena sylvata Scopoli, 1763; Calospilos sylvata (Scopoli, 1763)";Bofast och reproducerande
Noctuidae_cluster24;assigned;Abrostola tripartita;Exact;215956;Abrostola tripartita;(Hufnagel, 1766);Abrostola urticae Hübner, 1818;Bofast och reproducerande
Noctuidae_cluster45;assigned;Abrostola triplasia;Exact;100151;Abrostola triplasia;(Linnaeus, 1758);Abrostola trigemina Werneburg, 1864;Bofast och reproducerande
Drepanidae_cluster4;assigned;Drepanidae_Achlya flavicornis;Manual;;Achlya flavicornis;(Linnaeus, 1758);björkgulhornspinnare;Bofast och reproducerande
Tortricidae_cluster119;;;Manual;;Acleris abietana;(Hübner, 1822);granvårvecklare;Bofast och reproducerande
Tortricidae_cluster73;assigned;Acleris aspersana;Exact;214890;Acleris aspersana;(Hübner, 1818);;Bofast och reproducerande
Tortricidae_cluster190;assigned;Acleris bergmanniana;Exact;214877;Acleris bergmanniana;(Linnaeus, 1758);"Croesia bergmanniana (Linnaeus, 1758); bergmans vecklare; Phalaena bergmanniana Linnaeus, 1758";Bofast och reproducerande
Tortricidae_cluster241;assigned;Acleris comariana;Exact;214878;Acleris comariana;(Lienig & Zeller, 1846);Teras comariana Lienig & Zeller, 1846;Bofast och reproducerande
Tortricidae_cluster232;assigned;Acleris cristana;Exact;214888;Acleris cristana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Tortricidae_cluster180;;;Manual;;Acleris effractana;(Hübner, 1799);jolsterhöstvecklare;Bofast och reproducerande
Tortricidae_cluster254;;;Manual;;Acleris emargana;(Fabricius, 1775);inbuktad videhöstvecklare;Bofast och reproducerande
Tortricidae_cluster154;assigned;Acleris ferrugana;Exact;214898;Acleris ferrugana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Tortricidae_cluster215;assigned;Acleris fimbriana;Exact;214906;Acleris fimbriana;(Thunberg, 1791);;Bofast och reproducerande
Tortricidae_cluster148;unresolved;Acleris hastiana;Exact;214893;Acleris hastiana;(Linnaeus, 1758);;Bofast och reproducerande
Tortricidae_cluster148;;;Manual;;Acleris hastiana;(Linnaeus, 1758);videvårvecklare;Bofast och reproducerande
Tortricidae_cluster208;assigned;Acleris holmiana;Exact;214875;Acleris holmiana;(Linnaeus, 1758);;Bofast och reproducerande
Tortricidae_cluster167;assigned;Acleris hyemana;Exact;214895;Acleris hyemana;(Haworth, 1828);;Bofast och reproducerande
Tortricidae_cluster259;assigned;Acleris laterana;Exact;214879;Acleris laterana;(Fabricius, 1794);föränderlig höstvecklare;Bofast och reproducerande
Tortricidae_cluster95;assigned;Acleris lipsiana;Exact;214904;Acleris lipsiana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Tortricidae_cluster206;assigned;Acleris logiana;Exact;214901;Acleris logiana;(Clerck, 1759);;Bofast och reproducerande
Tortricidae_cluster36;assigned;Acleris maccana;Exact;214881;Acleris maccana;(Treitschke, 1835);trekantig blåbärsvårvecklare;Bofast och reproducerande
Tortricidae_cluster244;manual;Acleris implexana;Manual;;Acleris implexana;(Walker, 1863);rostgrå vårvecklare;Bofast och reproducerande
Tortricidae_cluster155;assigned;Acleris notana;Exact;214899;Acleris notana;(Donovan, 1806);;Bofast och reproducerande
Tortricidae_cluster142;assigned;Acleris rhombana;Exact;214883;Acleris rhombana;(Denis & Schiffermüller, 1775);sikelvingehöstvecklare;Bofast och reproducerande
Tortricidae_cluster212;assigned;Acleris sparsana;Exact;214882;Acleris sparsana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Tortricidae_cluster99;assigned;Acleris variegana;Exact;214889;Acleris variegana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Gelechiidae_cluster26;assigned;Acompsia cinerella;Exact;214791;Acompsia cinerella;(Clerck, 1759);grå bågpalpmal;Bofast och reproducerande
Pyralidae_cluster15;assigned;Acrobasis advenella;Exact;215345;Acrobasis advenella;(Zincken, 1818);"rönnmörkmott; Trachycera advenella (Zincken, 1818)";Bofast och reproducerande
Pyralidae_cluster4;assigned;Acrobasis consociella;Exact;215349;Acrobasis consociella;(Hübner, 1813);mindre ekbladmott;Bofast och reproducerande
Pyralidae_cluster1;assigned;Acrobasis marmorea;Exact;215347;Acrobasis marmorea;(Haworth, 1811);Trachycera marmorea (Haworth, 1811);Bofast och reproducerande
Pyralidae_cluster10;assigned;Acrobasis repandana;Exact;215344;Acrobasis repandana;(Fabricius, 1798);"skogsekbladmott; Conobathra repandana (Fabricius, 1798); skogeksbladmott";Bofast och reproducerande
Gracillariidae_cluster2;assigned;Acrocercops brongniardella;Exact;214057;Acrocercops brongniardellus;(J.C.Fabricius, 1798);"Acrocercops brogniardella Haworth, 1828; Tinea brongniardella J.C.Fabricius, 1798; Acrocercops brongniardella (J.C.Fabricius, 1798)";Bofast och reproducerande
Gracillariidae_cluster87;assigned;Acrocercops brongniardella;Exact;214057;Acrocercops brongniardellus;(J.C.Fabricius, 1798);"Acrocercops brogniardella Haworth, 1828; Tinea brongniardella J.C.Fabricius, 1798; Acrocercops brongniardella (J.C.Fabricius, 1798)";Bofast och reproducerande
Gracillariidae_cluster90;assigned;Acrocercops brongniardella;Exact;214057;Acrocercops brongniardellus;(J.C.Fabricius, 1798);"Acrocercops brogniardella Haworth, 1828; Tinea brongniardella J.C.Fabricius, 1798; Acrocercops brongniardella (J.C.Fabricius, 1798)";Bofast och reproducerande
Glyphipterigidae_cluster2;assigned;Acrolepia pygmaeana;Manual;;Acrolepia autumnitella;Curtis, 1838;besksötemal;Bofast och reproducerande
