"V1","Kingdom","Phylum","Class","Order","Family","Genus","Species","BOLD_bin"
"Tortricidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia crenana","BOLAAE1756"
"Crambidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Chrysoteuchia","Chrysoteuchia culmella","BOLAAC0540"
"Plutellidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Plutellidae","Plutella","Plutella xylostella","BOLAAA1513"
"Noctuidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Autographa gamma","BOLAAB4345"
"Geometridae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Plagodis","Plagodis pulveraria","BOLAAA6014"
"Erebidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena crassalis","BOLAAD1366"
"Tortricidae_cluster2","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Ancylis","Ancylis myrtillana","BOLABZ7857"
"Noctuidae_cluster2","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Celaena","Celaena haworthii","BOLAAE9379"
"Gelechiidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Neofaculta","Neofaculta infernella","BOLAAC1363"
"Tortricidae_cluster3","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Orthotaenia","Orthotaenia undulana","BOLAAB4021"
"Tortricidae_cluster4","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Syricoris","Syricoris_X","BOLAAC3531"
"Tortricidae_cluster5","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia tedella","BOLAAD1782"
"Nymphalidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","Aglais urticae","BOLAAA9652"
"Crambidae_cluster2","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Crambus","Crambus nemorella","BOLAAC1691"
"Geometridae_cluster2","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Epirrita","Epirrita autumnata","unresolved.Epirrita autumnata"
"Noctuidae_cluster3","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Oligia","Oligia_X","BOLAAB4833"
"Geometridae_cluster3","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eulithis","Eulithis populata","BOLABZ1837"
"Noctuidae_cluster4","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Mniotype","Mniotype satura","BOLAAD0227"
"Erebidae_cluster2","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena proboscidalis","BOLAAB6485"
"Tortricidae_cluster6","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Eana","Eana incanana","BOLAAD7476"
"Geometridae_cluster4","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Geometridae_X","Geometridae_XX","BOLABY9522"
"Geometridae_cluster5","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Operophtera","Operophtera fagata","BOLAAD0141"
"Elachistidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Elachistidae","unresolved.Elachistidae","unresolved.Elachistidae","unresolved.Elachistidae"
"Geometridae_cluster6","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Hydriomena","Hydriomena furcata","BOLACE8706"
"Tortricidae_cluster7","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia mercuriana","BOLAAE1187"
"Crambidae_cluster3","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","unclassified.Crambidae","unclassified.Crambidae","unclassified.Crambidae"
"Geometridae_cluster7","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Thera","Thera_X","BOLAAB9686"
"Tortricidae_cluster8","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Rhopobota","Rhopobota naevana","BOLAAA9812"
"Hepialidae_cluster1","Animalia","Arthropoda","Insecta","Lepidoptera","Hepialidae","Korscheltellus","Korscheltellus lupulina","BOLAAA8451"
"Tortricidae_cluster9","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Olethreutes","Olethreutes glaciana","BOLAAA6005"
"Tortricidae_cluster10","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia cruciana","BOLAAC2644"
"Geometridae_cluster8","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Operophtera","Operophtera brumata","BOLAAA3963"
