CATEGORY;cluster
NEW TO SWEDEN;Geometridae_cluster186
NEW TO SWEDEN;Geometridae_cluster181
NEW TO SWEDEN;Batrachedridae_cluster3
NEW TO SWEDEN;Gracillariidae_cluster61
PUTATIVE NEW SPECIES;Lepidoptera_X_cluster6
PUTATIVE NEW SPECIES;Nepticulidae_cluster58
PUTATIVE NEW SPECIES;unclassified.Lepidoptera_cluster19
PUTATIVE NEW SPECIES;Lepidoptera_X_cluster2
PUTATIVE NEW SPECIES;Lepidoptera_X_cluster5
PUTATIVE NEW SPECIES;Bucculatricidae_cluster9
PUTATIVE NEW SPECIES;Coleophoridae_cluster47
PUTATIVE NEW SPECIES;Adelidae_cluster11
PUTATIVE NEW SPECIES;unclassified.Lepidoptera_cluster18
PUTATIVE NEW SPECIES;Gracillariidae_cluster1
PUTATIVE NEW SPECIES;Tortricidae_cluster210
PUTATIVE NEW SPECIES;Lepidoptera_X_cluster1
RANGE EXPANSION;Geometridae_cluster22
RANGE EXPANSION;Coleophoridae_cluster27
RANGE EXPANSION;Coleophoridae_cluster7
RANGE EXPANSION;Tortricidae_cluster68
