"","distance","species","cluster","reads","sampleID_LAB","trapID","listID","lon","lat"
"1",1243594.3336175,"Parornix atripalpella","Gracillariidae_cluster24",5,"L102195","TGATIM",979,18.53316,68.35346
"2",986317.57259326,"Stigmella continuella","Nepticulidae_cluster44",31,"L104211","TK5FQJ",1183,21.54613,65.80833
"3",956114.017268614,"Paraswammerdamia albicapitella","Yponomeutidae_cluster2",8,"L102195","TGATIM",971,18.53316,68.35346
"4",945237.306611418,"Phyllonorycter maestingella","Gracillariidae_cluster15",7,"L102916","TSJUPI",1038,18.54703,68.35896
"5",901738.450733066,"Aleimma loeflingiana","Tortricidae_cluster68",10757,"L101363","TSTZUY",80,18.80928,68.35471
"6",874662.233704934,"Acrobasis marmorea","Pyralidae_cluster1",7,"L102208","TE8FGF",23,18.54587,68.35659
"7",874274.469433105,"Acrobasis marmorea","Pyralidae_cluster1",65,"L102195","TGATIM",23,18.53316,68.35346
"8",863593.980730972,"Oxypteryx superbella","Gelechiidae_cluster113",41,"L103919","TND7ZQ",937,20.7983,64.70675
"9",850565.966053284,"Stigmella filipendulae","Nepticulidae_cluster18",228,"L102968","TJZHPY",1186,18.3022567,67.1469025
"10",849997.500855504,"Helcystogramma lutatella","Gelechiidae_cluster11",16,"L102195","TGATIM",700,18.53316,68.35346
"11",849971.364079662,"Apamea lithoxylaea","Noctuidae_cluster25",2,"L102555","TSTZUY",128,18.80928,68.35471
"12",849395.846777697,"Philereme vetulata","Geometridae_cluster22",56,"L102208","TE8FGF",1009,18.54587,68.35659
"13",849015.282611495,"Philereme vetulata","Geometridae_cluster22",380,"L102195","TGATIM",1009,18.53316,68.35346
"14",846396.32549906,"Stigmella nylandriella","Nepticulidae_cluster5",207,"L100193","THG7AZ",1196,20.26367,67.8735
"15",846396.32549906,"Stigmella nylandriella","Nepticulidae_cluster5",92,"L104249","THG7AZ",1196,20.26367,67.8735
"16",846196.220541019,"Stigmella nylandriella","Nepticulidae_cluster5",1015,"L104019","TRICKN",1196,20.27589,67.87046
"17",845860.785567494,"Stigmella nylandriella","Nepticulidae_cluster5",124,"L103694","TARUGI",1196,20.25816,67.86906
"18",845821.501370429,"Stigmella obliquella","Nepticulidae_cluster68",66,"L103904","T2YSPU",1197,23.66219,66.39066
"19",809899.585704122,"Coleophora peribenanderi","Coleophoridae_cluster7",232,"L102968","TJZHPY",359,18.3022567,67.1469025
"20",809899.585704122,"Coleophora peribenanderi","Coleophoridae_cluster7",29,"L100059","TJZHPY",359,18.3022567,67.1469025
"21",781334.552443542,"Stigmella continuella","Nepticulidae_cluster44",166,"L103893","TRB71K",1183,20.1628092,64.0571661
"22",781256.949105989,"Stigmella continuella","Nepticulidae_cluster44",14,"L104389","T1KSIA",1183,20.1564413,64.0571488
"23",780907.939856917,"Stigmella continuella","Nepticulidae_cluster44",10,"L104536","TS2P4Q",1183,20.1659856,64.0528579
"24",780591.394918146,"Stigmella continuella","Nepticulidae_cluster44",52,"L104018","T9UPWP",1183,20.1621544,64.0503453
"25",780591.394918146,"Stigmella continuella","Nepticulidae_cluster44",63,"L103895","T9UPWP",1183,20.1621544,64.0503453
"26",780591.394918146,"Stigmella continuella","Nepticulidae_cluster44",22,"L103884","T9UPWP",1183,20.1621544,64.0503453
"27",780591.394918146,"Stigmella continuella","Nepticulidae_cluster44",36,"L104029","T9UPWP",1183,20.1621544,64.0503453
"28",780591.394918146,"Stigmella continuella","Nepticulidae_cluster44",31,"L104053","T9UPWP",1183,20.1621544,64.0503453
"29",780591.394918146,"Stigmella continuella","Nepticulidae_cluster44",62,"L104379","T9UPWP",1183,20.1621544,64.0503453
"30",778019.14840359,"Stigmella nylandriella","Nepticulidae_cluster5",271,"L101824","TAPGMG",1196,20.72606,67.18333
"31",732428.644717581,"Cydia pactolana","Tortricidae_cluster98",427,"L102722","TBGIW1",419,21.0427458,66.7941498
"32",729945.133141043,"Scoparia pyralella","Crambidae_cluster12",14,"L102208","TE8FGF",1123,18.54587,68.35659
"33",729525.363286765,"Scoparia pyralella","Crambidae_cluster12",111,"L102195","TGATIM",1123,18.53316,68.35346
"34",729496.67623336,"Coleophora antennariella","Coleophoridae_cluster21",584,"L104236","TK5FQJ",335,21.54613,65.80833
"35",728985.767687802,"Coleophora antennariella","Coleophoridae_cluster21",405,"L103679","T5XNHX",335,21.53992,65.80426
"36",700372.669895396,"Stigmella tristis","Nepticulidae_cluster49",159,"L102378","TT79BQ",1212,12.3795741,62.6352101
"37",699704.256436049,"Ocnerostoma piniariella","Yponomeutidae_cluster16",16,"L102972","TC8QBB",912,19.8426095,66.5973446
"38",699704.256436049,"Ocnerostoma piniariella","Yponomeutidae_cluster16",6,"L104125","TC8QBB",912,19.8426095,66.5973446
"39",688717.478428081,"Ocnerostoma piniariella","Yponomeutidae_cluster16",4,"L100308","TDGVY8",912,20.2960094,66.4757956
"40",684344.036465042,"Stigmella splendidissimella","Nepticulidae_cluster24",83,"L103648","TK5FQJ",1208,21.54613,65.80833
"41",684344.036465042,"Stigmella splendidissimella","Nepticulidae_cluster24",31,"L103677","TK5FQJ",1208,21.54613,65.80833
"42",684344.036465042,"Stigmella splendidissimella","Nepticulidae_cluster24",119,"L104211","TK5FQJ",1208,21.54613,65.80833
"43",683671.899128348,"Stigmella splendidissimella","Nepticulidae_cluster24",21,"L103436","TK3EAJ",1208,21.55104,65.80139
"44",682352.767608078,"Cydia coniferana","Tortricidae_cluster127",5956,"L101832","TAPGMG",411,20.72606,67.18333
"45",659999.811327264,"Agapeta hamana","Tortricidae_cluster26",13,"L100750","TG8NKF",42,18.6238284,66.6413026
"46",653859.819115677,"Elachista nobilella","Elachistidae_cluster5",1969,"L104309","TRICKN",503,20.27589,67.87046
"47",653834.724087164,"Elachista nobilella","Elachistidae_cluster5",1371,"L103717","THG7AZ",503,20.26367,67.8735
"48",653834.724087164,"Elachista nobilella","Elachistidae_cluster5",35,"L104626","THG7AZ",503,20.26367,67.8735
"49",653299.216679099,"Elachista nobilella","Elachistidae_cluster5",899,"L104308","TARUGI",503,20.25816,67.86906
"50",653299.216679099,"Elachista nobilella","Elachistidae_cluster5",142,"L104618","TARUGI",503,20.25816,67.86906
"51",648987.175470743,"Stigmella nylandriella","Nepticulidae_cluster5",231,"L103677","TK5FQJ",1196,21.54613,65.80833
"52",648980.334797339,"Stigmella nylandriella","Nepticulidae_cluster5",436,"L103435","TLFEGH",1196,21.54216,65.80904
"53",648980.334797339,"Stigmella nylandriella","Nepticulidae_cluster5",34,"L103676","TLFEGH",1196,21.54216,65.80904
"54",648725.309226219,"Stigmella nylandriella","Nepticulidae_cluster5",119,"L103389","TKIAHP",1196,21.55788,65.80341
"55",648725.309226219,"Stigmella nylandriella","Nepticulidae_cluster5",337,"L104023","TKIAHP",1196,21.55788,65.80341
"56",648486.671521663,"Stigmella nylandriella","Nepticulidae_cluster5",194,"L103448","TYKB9L",1196,21.55559,65.80148
