"cluster" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "BOLD_bin" "updated_BIN_annotation" "updated_BIN_annotation_n_records" "updated_BIN_annotation_prop" "dyntaxa_match" "dyntaxa_name" "SE_occurrence"
"237" "Tortricidae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Syricoris" "Syricoris_X" "BOLAAC3531" "Celypha lacunana" 95 0.673758865248227 "Exact" "Celypha lacunana" "Bofast och reproducerande"
"289" "Noctuidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Oligia" "Oligia_X" "BOLAAB4833" "Oligia strigilis" 103 0.502439024390244 "Exact" "Oligia strigilis" "Bofast och reproducerande"
"365" "Geometridae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Geometridae_X" "Geometridae_XX" "BOLABY9522" "Macaria brunneata" 43 0.826923076923077 "Exact" "Macaria brunneata" "Bofast och reproducerande"
"421" "Geometridae_cluster7" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Thera" "Thera_X" "BOLAAB9686" "Thera cognata" 49 0.636363636363636 "Exact" "Thera cognata" "Bofast och reproducerande"
"576" "Tortricidae_cluster14" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Olethreutes" "Olethreutes_X" "BOLAAB1043" "Olethreutes metallicana" 73 0.382198952879581 "NoMatch" "" ""
"594" "Tortricidae_cluster15" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Exapate" "Exapate_X" "BOLAAE6707" "Exapate congelatella" 11 0.478260869565217 "Exact" "Exapate congelatella" "Bofast och reproducerande"
"881" "Tortricidae_cluster23" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Epiblema" "Epiblema_X" "BOLAAE5499" "Notocelia roborana" 24 0.888888888888889 "Exact" "Notocelia roborana" "Bofast och reproducerande"
"965" "Geometridae_cluster18" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Epirrita" "Epirrita_X" "BOLAAA5907" "Epirrita autumnata" 16 0.444444444444444 "Exact" "Epirrita autumnata" "Bofast och reproducerande"
"982" "Plutellidae_cluster2" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Plutellidae" "Ypsolophus" "Ypsolophus_X" "BOLAAD0001" "Ypsolopha ustella" 221 0.97787610619469 "Exact" "Ypsolopha ustella" "Bofast och reproducerande"
"1010" "Geometridae_cluster19" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Macaria" "Macaria_X" "BOLAAA4974" "Macaria loricaria" 242 1 "Exact" "Macaria loricaria" "Bofast och reproducerande"
"1039" "Crambidae_cluster8" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Scoparia" "Scoparia_X" "BOLAAB1555" "Scoparia ambigualis" 75 0.506756756756757 "Exact" "Scoparia ambigualis" "Bofast och reproducerande"
"1137" "Noctuidae_cluster19" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Mesapamea" "Mesapamea_X" "BOLAAB2749" "Mesapamea secalis" 106 0.420634920634921 "Exact" "Mesapamea secalis" "Bofast och reproducerande"
"1170" "Erebidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Erebidae" "Eilema" "Eilema_X" "BOLAAB6834" "Eilema depressa" 46 0.48936170212766 "Exact" "Eilema depressum" "Bofast och reproducerande"
"1202" "Noctuidae_cluster21" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Noctuidae_X" "Noctuidae_XX" "BOLAAB9497" "Charanyca ferruginea" 44 0.586666666666667 "Exact" "Rusina ferruginea" "Bofast och reproducerande"
"1232" "Noctuidae_cluster22" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Autographa" "Autographa_X" "BOLAAA3990" "Autographa pulchrina" 138 0.71875 "Exact" "Autographa pulchrina" "Bofast och reproducerande"
"1446" "Crambidae_cluster10" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Crambidae_X" "Crambidae_XX" "BOLAAB6255" "Patania ruralis" 40 0.701754385964912 "Exact" "Patania ruralis" "Bofast och reproducerande"
"1494" "Oecophoridae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Oecophoridae" "Borkhausenia" "Borkhausenia_X" "BOLAAE9502" "Metalampra cinnamomea" 10 0.714285714285714 "Exact" "Metalampra cinnamomea" "Bofast och reproducerande"
"1520" "Gelechiidae_cluster12" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Neofaculta" "Neofaculta_X" "BOLAAC1362" "Unspecified*" 30 0.476190476190476 "" "" ""
"1557" "Incurvariidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Incurvariidae" "Incurvaria" "Incurvaria_X" "BOLAAD7517" "Lampronia corticella" 24 0.727272727272727 "Exact" "Lampronia corticella" "Bofast och reproducerande"
"1562" "Lasiocampidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Lasiocampidae" "Phyllodesma" "Phyllodesma_X" "BOLACF2447" "Unspecified*" 41 0.561643835616438 "" "" ""
"1583" "Tortricidae_cluster45" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Pseudohermenias" "Pseudohermenias_X" "BOLAAD7589" "Pseudohermenias abietana" 17 0.85 "Exact" "Pseudohermenias abietana" "Bofast och reproducerande"
"1613" "Crambidae_cluster11" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Crambus" "Crambus_X" "BOLAAA6137" "Crambus perlella" 32 0.463768115942029 "Exact" "Crambus perlellus" "Bofast och reproducerande"
"1727" "Geometridae_cluster32" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Timandra" "Timandra_X" "BOLAAB0828" "Timandra comae" 76 0.633333333333333 "Exact" "Timandra comae" "Bofast och reproducerande"
"1802" "Psychidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Psychidae" "Solenobia" "Solenobia_X" "BOLABX6397" "Dahlica triquetrella" 58 0.966666666666667 "Exact" "Dahlica triquetrella" "Bofast och reproducerande"
"1965" "Tortricidae_cluster55" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Dichrorampha" "Dichrorampha_X" "BOLAAA8637" "Unspecified*" 35 0.309734513274336 "" "" ""
"2031" "Geometridae_cluster39" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Peribatodes" "Peribatodes_X" "BOLAAC2923" "Peribatodes secundaria" 30 0.612244897959184 "Exact" "Peribatodes secundaria" "Bofast och reproducerande"
"2090" "Tortricidae_cluster57" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Olethreutes" "Olethreutes_X" "BOLACF5701" "Phiaris schulziana" 35 0.53030303030303 "Exact" "Phiaris schulziana" "Bofast och reproducerande"
"2192" "Tortricidae_cluster59" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Ancylis" "Ancylis_X" "BOLAAA7191" "Ancylis uncella" 37 0.755102040816326 "Exact" "Ancylis uncella" "Bofast och reproducerande"
"2327" "Yponomeutidae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Yponomeutidae" "Swammerdamia" "Swammerdamia_X" "BOLAAB0225" "Swammerdamia caesiella" 15 1 "Exact" "Swammerdamia caesiella" "Bofast och reproducerande"
"2371" "Noctuidae_cluster41" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Amphipoea" "Amphipoea_X" "BOLAAB5368" "Amphipoea fucosa" 68 0.607142857142857 "Exact" "Amphipoea fucosa" "Bofast och reproducerande"
"2380" "Incurvariidae_cluster2" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Incurvariidae" "Incurvaria" "Incurvaria_X" "BOLAAF4452" "Lampronia luzella" 12 0.923076923076923 "Exact" "Lampronia luzella" "Bofast och reproducerande"
"2403" "Coleophoridae_cluster3" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "Coleophora_X" "BOLAAC6419" "Coleophora alticolella" 43 0.425742574257426 "Exact" "Coleophora alticolella" "Bofast och reproducerande"
"2436" "Nymphalidae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Clossiana" "Clossiana_X" "BOLAAB1747" "Boloria euphrosyne" 121 0.991803278688525 "Exact" "Boloria euphrosyne" "Bofast och reproducerande"
"2549" "Tortricidae_cluster63" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Pelochrista" "Pelochrista_X" "BOLAAE7175" "Unspecified*" 21 0.428571428571429 "" "" ""
"2550" "Tortricidae_cluster64" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Olethreutes" "Olethreutes_X" "BOLABZ7390" "Phiaris dissolutana" 9 0.9 "Exact" "Phiaris dissolutana" "Bofast och reproducerande"
"2580" "Geometridae_cluster51" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Scopula" "Scopula_X" "BOLAAA5384" "Scopula frigidaria" 126 0.79746835443038 "Exact" "Scopula frigidaria" "Ej påträffad"
"2647" "Nymphalidae_cluster5" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Brenthis" "Brenthis_X" "BOLAAA9312" "Brenthis ino" 160 0.486322188449848 "Exact" "Brenthis ino" "Bofast och reproducerande"
"2784" "Tortricidae_cluster74" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Archips" "Archips_X" "BOLAAB9404" "Archips rosana" 46 0.48421052631579 "Exact" "Archips rosanus" "Bofast och reproducerande"
