"IBA_species" "match_status" "taxon_id" "sci_name" "author" "synonyms" "SE_occurrence" "IBA_cluster" "IBA_resolved_species" "IBA_resolved_BOLD_bin" "updated_BIN_annotation" "updated_BIN_annotation_n_records" "updated_BIN_annotation_prop"
"8" "Olethreutes glaciana" "NoMatch" NA "" "" "" "" "Tortricidae_cluster9" "Olethreutes glaciana" "BOLAAA6005" "Olethreutes glaciana" 324 0.861702127659574
"43" "Thyraylia nana" "NoMatch" NA "" "" "" "" "Tortricidae_cluster49" "Thyraylia nana" "BOLABY5998" "Thyraylia nana" 24 0.857142857142857
"121" "Acleris hippophaeana" "NoMatch" NA "" "" "" "" "Tortricidae_cluster148" "unresolved.Acleris" "unresolved.Acleris" "" 0 0
"158" "Olethreutes heinrichana" "NoMatch" NA "" "" "" "" "Tortricidae_cluster192" "Olethreutes heinrichana" "BOLAAA8541" "Olethreutes heinrichana" 26 0.764705882352941
"212" "Cochylichroa atricapitana" "NoMatch" NA "" "" "" "" "Tortricidae_cluster266" "Cochylichroa atricapitana" "BOLAAE1271" "Cochylichroa atricapitana" 4 0.8
"222" "Crambus nemorella" "NoMatch" NA "" "" "" "" "Crambidae_cluster2" "Crambus nemorella" "BOLAAC1691" "Crambus lathoniellus" 33 0.733333333333333
"225" "Agriphila tristellus" "NoMatch" NA "" "" "" "" "Crambidae_cluster6" "Agriphila tristellus" "BOLAAB9062" "Agriphila tristella" 34 0.666666666666667
"227" "Catoptria margaritellus" "NoMatch" NA "" "" "" "" "Crambidae_cluster9" "Catoptria margaritellus" "BOLAAD3702" "Catoptria margaritella" 19 0.730769230769231
"244" "Scoparia cembrella" "NoMatch" NA "" "" "" "" "Crambidae_cluster30" "Scoparia cembrella" "BOLAAB1557" "Scoparia subfusca" 31 0.911764705882353
"253" "Platytes cerusella" "NoMatch" NA "" "" "" "" "Crambidae_cluster40" "Platytes cerusella" "BOLAAF4169" "Platytes cerussella" 19 0.826086956521739
"274" "Eupithecia niphadophilata" "NoMatch" NA "" "" "" "" "Geometridae_cluster9" "Eupithecia pusillata" "BOLABZ6329" "Eupithecia pusillata" 62 0.984126984126984
"387" "Euphyia intermediata" "NoMatch" NA "" "" "" "" "Geometridae_cluster140" "Euphyia intermediata" "BOLAAA4559" "Euphyia intermediata" 91 0.674074074074074
"400" "Thera cembrae" "NoMatch" NA "" "" "" "" "Geometridae_cluster155" "Thera cembrae" "BOLAAA7521" "Thera obeliscata" 80 0.509554140127389
"420" "Eupithecia groenblomi" "Exact" 6010376 "Eupithecia groenblomi" "Urbahn, 1969" "" "Ej påträffad" "Geometridae_cluster181" "Eupithecia groenblomi" "BOLAAL5402" "Eupithecia groenblomi" 4 1
"422" "Ectropis excellens" "NoMatch" NA "" "" "" "" "Geometridae_cluster183" "Ectropis excellens" "BOLAEA3862" "Ectropis excellens" 20 1
"425" "Agriopis budashkini" "NoMatch" NA "" "" "" "" "Geometridae_cluster186" "Agriopis budashkini" "BOLAAJ6603" "Agriopis budashkini" 2 0.666666666666667
"479" "Xestia speciosa" "NeedsManualSelection" NA "Välj ett av 2 matchande taxa; Art: Xestia baltica (Valle, 1940), baltiskt skogsfly [216248]; Art: Xestia arctica (Zetterstedt, 1839), arktiskt fjällfly [6010454]" "" "" "" "Noctuidae_cluster35" "Xestia speciosa" "BOLACE4666" "Xestia speciosa" 33 0.970588235294118
"488" "Xestia smithii" "NoMatch" NA "" "" "" "" "Noctuidae_cluster43" "Xestia smithii" "BOLAAA2590" "Xestia smithii" 330 0.827067669172932
"500" "Hyppa contrasta" "NoMatch" NA "" "" "" "" "Noctuidae_cluster55" "unclassified.Hyppa" "unclassified.Hyppa" "" 0 0
"506" "Lacanobia atlantica" "NoMatch" NA "" "" "" "" "Noctuidae_cluster60" "unresolved.Lacanobia" "unresolved.Lacanobia" "" 0 0
