Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Agriopis marginaria voucher LC01715 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,623,623,100%,1e-173,93.59,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ129034.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GPBDEPP013"",""MZ129034.1"")"
"Agriopis marginaria voucher TLMF Lep 04692 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,623,623,100%,1e-173,93.59,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN269347.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GPBDEPP013"",""JN269347.1"")"
"Agriopis marginaria voucher TLMF Lep 02652 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,623,623,100%,1e-173,93.59,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF860184.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GPBDEPP013"",""JF860184.1"")"
"Agriopis marginaria voucher MM07217 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,623,623,100%,1e-173,93.59,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873648.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GPBDEPP013"",""HM873648.1"")"
"Agriopis marginaria voucher TLMF Lep 08857 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,623,623,100%,1e-173,93.59,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572244.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GPBDEPP013"",""KM572244.1"")"
"Agriopis marginaria voucher BC ZSM Lep 01191 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,623,623,100%,1e-173,93.59,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ601033.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GPBDEPP013"",""HQ601033.1"")"
"Agriopis marginaria voucher BC ZSM Lep 14274 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,619,619,100%,1e-172,93.35,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX071439.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GPBDEPP013"",""KX071439.1"")"
"Agriopis marginaria voucher RCIM 0027 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,617,617,100%,4e-172,93.35,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047831.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GPBDEPP013"",""KX047831.1"")"
"Agriopis marginaria voucher UKLB38A06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriopis marginaria,617,617,100%,4e-172,93.35,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043545.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GPBDEPP013"",""KX043545.1"")"
"Agriopis marginaria genome assembly, organelle: mitochondrion",Agriopis marginaria,617,617,100%,4e-172,93.35,16942,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OW029943.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GPBDEPP013"",""OW029943.1"")"
