Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ancylis myrtillana voucher TLMF Lep 00861 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ968235.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GMN8PEH013"",""HQ968235.1"")"
"Ancylis myrtillana voucher NHMO-08122 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,750,750,100%,0.0,99.04,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048529.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GMN8PEH013"",""KX048529.1"")"
"Ancylis myrtillana voucher 10BBCLP-2481 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,750,750,100%,0.0,99.04,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM554785.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GMN8PEH013"",""KM554785.1"")"
"Ancylis myrtillana voucher MM00638 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,750,750,100%,0.0,99.04,638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871102.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GMN8PEH013"",""HM871102.1"")"
"Ancylis myrtillana voucher BC ZSM Lep 23563 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706938.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GMN8PEH013"",""GU706938.1"")"
"Ancylis myrtillana voucher TLMF Lep 09959 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572090.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GMN8PEH013"",""KM572090.1"")"
"Ancylis myrtillana voucher BC ZSM Lep 23315 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,745,745,100%,0.0,98.80,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706408.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GMN8PEH013"",""GU706408.1"")"
"Ancylis myrtillana voucher CHU06-COL-305 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,728,728,100%,0.0,98.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT130278.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GMN8PEH013"",""KT130278.1"")"
"Ancylis myrtillana voucher 07PROBE-10140 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,728,728,100%,0.0,98.09,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128021.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GMN8PEH013"",""KT128021.1"")"
"Ancylis myrtillana voucher 10BBCLP-3065 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ancylis myrtillana,728,728,100%,0.0,98.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546502.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GMN8PEH013"",""KM546502.1"")"
