Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella glutinosae voucher RMNH.INS.11343 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella glutinosae,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281372.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX281372.1"")"
"Stigmella glutinosae voucher MM10670 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella glutinosae,706,706,100%,0.0,97.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874845.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""HM874845.1"")"
"Stigmella glutinosae voucher MM05731 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella glutinosae,701,701,100%,0.0,96.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872919.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""HM872919.1"")"
"Stigmella nr. corylifoliella BOLD:ABX9484 voucher BIOUG03102-B02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella nr. corylifoliella BOLD:ABX9484,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550964.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""KM550964.1"")"
"Stigmella nr. corylifoliella BOLD:ABX9484 voucher BIOUG03102-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella nr. corylifoliella BOLD:ABX9484,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM545060.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""KM545060.1"")"
"Stigmella corylifoliella voucher BIOUG03431-G09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541411.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""KM541411.1"")"
"Stigmella corylifoliella voucher BIOUG03754-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540239.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""KM540239.1"")"
"Stigmella corylifoliella voucher RMNH.INS.18197 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281400.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""KX281400.1"")"
"Stigmella corylifoliella voucher BIOUG03102-A07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM553073.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""KM553073.1"")"
"Stigmella corylifoliella voucher BIOUG03431-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM544018.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""KM544018.1"")"
"Stigmella corylifoliella voucher BIOUG03754-B03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541426.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""KM541426.1"")"
"Stigmella corylifoliella voucher BIOUG03431-G08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551316.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""KM551316.1"")"
"Stigmella sp. PrunusKorea voucher RMNH.INS.29230 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. PrunusKorea,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281398.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""KX281398.1"")"
"Stigmella alnetella voucher MM09425 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella alnetella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874266.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""HM874266.1"")"
"Stigmella caryaefoliella voucher CNCLEP00042454 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella caryaefoliella,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM431822.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""HM431822.1"")"
"Stigmella alnetella voucher RMNH.INS.23565 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella alnetella,612,612,99%,2e-170,93.25,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281438.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""KX281438.1"")"
"Stigmella sp. CaryaUSA voucher RMNH.INS.24415 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. CaryaUSA,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281375.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""KX281375.1"")"
"Stigmella microtheriella voucher RMNH.INS.23824 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,604,604,99%,3e-168,92.81,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281278.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""KX281278.1"")"
"Stigmella microtheriella voucher MM07008 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella microtheriella,604,604,99%,3e-168,92.81,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873629.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""HM873629.1"")"
"Stigmella juglandifoliella voucher BIOUG20773-H05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella juglandifoliella,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG466645.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""MG466645.1"")"
