"asv" "cluster" "file_name"
"1" "0007eb6292445a08ff00a8cde1a24e4a" "Elachistidae_cluster1" "8E8XF8GY016-Alignment-Descriptions(1).csv"
"2" "56a654fe0493e8c680f6dfabb28f83ca" "Crambidae_cluster3" "8E8XF8GY016-Alignment-Descriptions(2).csv"
"3" "7d0808bcd5c884d68f70c8ffa26c676a" "Gracillariidae_cluster1" "8E8XF8GY016-Alignment-Descriptions(3).csv"
"4" "c3dceb90a43d91ce947e09412992684c" "Tortricidae_cluster21" "8E8XF8GY016-Alignment-Descriptions(4).csv"
"5" "f2713069bb4e64d0126f9f7d7dcb11f7" "Tortricidae_cluster46" "8E8XF8GY016-Alignment-Descriptions(5).csv"
"6" "2060a5e2c442721dda44057a4ceef659" "Lycaenidae_cluster2" "8E8XF8GY016-Alignment-Descriptions(6).csv"
"7" "f8856b74c0f2ec121064c8df67a2dc77" "Nymphalidae_cluster3" "8E8XF8GY016-Alignment-Descriptions(7).csv"
"8" "08c70525bf18452d06eedfc177808662" "Argyresthiidae_cluster5" "8E8XF8GY016-Alignment-Descriptions(8).csv"
"9" "bd0b5e30dd956a5c860a712fa63fd81c" "Geometridae_cluster62" "8E8XF8GY016-Alignment-Descriptions(9).csv"
"10" "2ea3d5ca72db18b47f82fcf63df16394" "Noctuidae_cluster55" "8E8XF8GY016-Alignment-Descriptions(10).csv"
"11" "068b6c8ab7ae4bddb0f03cf975388c0e" "Elachistidae_cluster17" "8E8XF8GY016-Alignment-Descriptions(11).csv"
"12" "183b006bc3cbf4bf9ca97ac38a7a1ffd" "Noctuidae_cluster60" "8E8XF8GY016-Alignment-Descriptions(12).csv"
"13" "0524217480c3927b48f4509ad54df903" "Elachistidae_cluster20" "8E8XF8GY016-Alignment-Descriptions(13).csv"
"14" "2e9486900d4aa6ba4978a39475d03367" "Lypusidae_cluster4" "8E8XF8GY016-Alignment-Descriptions(14).csv"
"15" "1b8374cd49c7e270ee385c3f1e26e900" "Lypusidae_cluster5" "8E8XF8GY016-Alignment-Descriptions(15).csv"
