Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Lathronympha strigana voucher BC ZSM Lep 50838 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040000.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GMN8PEH013"",""KX040000.1"")"
"Lathronympha strigana voucher BC ZSM Lep 23589 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,590,590,100%,1e-163,92.11,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM422100.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GMN8PEH013"",""HM422100.1"")"
"Lathronympha strigana voucher NHMO-07024 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,568,568,100%,5e-157,91.15,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048565.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GMN8PEH013"",""KX048565.1"")"
"Eucosmocydia sp. 1 AET-2021a voucher JWB-DNA-21-086 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Eucosmocydia sp. 1 AET-2021a,568,568,100%,5e-157,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL804614.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GMN8PEH013"",""OL804614.1"")"
"Grapholitini sp. JB6 voucher USNM:ENT:00808624 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Grapholitini sp. JB6,568,568,100%,5e-157,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ592139.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GMN8PEH013"",""KJ592139.1"")"
"Lathronympha strigana voucher BC ZSM Lep 23588 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706731.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GMN8PEH013"",""GU706731.1"")"
"Grapholitini sp. JB6 voucher USNM:ENT:00676830 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Grapholitini sp. JB6,562,562,100%,2e-155,90.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ592427.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GMN8PEH013"",""KJ592427.1"")"
"Grapholitini sp. JB6 voucher USNM:ENT:00808623 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Grapholitini sp. JB6,562,562,100%,2e-155,90.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ592366.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GMN8PEH013"",""KJ592366.1"")"
"Grapholitini sp. JB6 voucher USNM:ENT:00676833 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Grapholitini sp. JB6,562,562,100%,2e-155,90.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ592154.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GMN8PEH013"",""KJ592154.1"")"
"Lathronympha strigana voucher TLMF Lep 00879 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ968253.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GMN8PEH013"",""HQ968253.1"")"
