Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Plebejus argus voucher RVcoll.08-M380 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Plebejus argus,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ004975.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HQ004975.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:UMCARI5",Plebejus argus,761,761,100%,0.0,99.52,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219918.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""LT219918.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:UMCARI1",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219917.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""LT219917.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:SS-11-228",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219910.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""LT219910.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:AD-02-W147",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219905.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""LT219905.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:AD-02-W156",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219904.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""LT219904.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:MAT-99-Q901",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219901.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""LT219901.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:ZT-109",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219895.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""LT219895.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:ZT-337",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219856.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""LT219856.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:nisevac3",Plebejus argus,761,761,100%,0.0,99.52,637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219852.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""LT219852.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:SS-12-1905",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219831.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""LT219831.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:SS-12-1906",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219830.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""LT219830.1"")"
"Plebejus argus mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher MCZ:SS-12-1907",Plebejus argus,761,761,100%,0.0,99.52,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT219829.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""LT219829.1"")"
