Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora otidipennella voucher MM02479 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora otidipennella,717,717,100%,0.0,97.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871560.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM871560.1"")"
"Coleophora otidipennella voucher Lep164 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora otidipennella,712,712,100%,0.0,97.37,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248801.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""JN248801.1"")"
"Coleophora otidipennella voucher MM02478 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora otidipennella,712,712,100%,0.0,97.37,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871559.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""HM871559.1"")"
"Coleophora otidipennella voucher MM06478 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora otidipennella,712,712,100%,0.0,97.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873276.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""HM873276.1"")"
"Coleophora otidipennella voucher MM13897 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora otidipennella,712,712,100%,0.0,97.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875789.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""HM875789.1"")"
"Coleophora otidipennella voucher UKLB39F01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora otidipennella,684,684,100%,0.0,96.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043239.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""KX043239.1"")"
"Coleophora sylvaticella voucher TLMF Lep 02314 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sylvaticella,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859882.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""JF859882.1"")"
"Coleophora sylvaticella voucher Lep219 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora sylvaticella,667,667,100%,0.0,95.45,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248851.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""JN248851.1"")"
"Coleophora sylvaticella voucher BC ZSM Lep 25537 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora sylvaticella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM422157.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""HM422157.1"")"
"Coleophora taeniipennella voucher Lep202 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora taeniipennella,662,662,100%,0.0,95.22,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248835.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""JN248835.1"")"
"Coleophora taeniipennella voucher MM02476 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora taeniipennella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871558.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""HM871558.1"")"
"Coleophora taeniipennella voucher MM09909 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora taeniipennella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874484.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""HM874484.1"")"
"Coleophora taeniipennella voucher MM12040 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora taeniipennella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875173.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""HM875173.1"")"
