Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Phyllonorycter quercifoliella voucher CLV8408 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,734,734,100%,0.0,98.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046972.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX046972.1"")"
"Phyllonorycter quercifoliella voucher CLV2714 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,728,728,100%,0.0,98.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280317.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""JN280317.1"")"
"Phyllonorycter quercifoliella voucher CLV270711 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,723,723,100%,0.0,97.85,604,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280312.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""JN280312.1"")"
"Phyllonorycter quercifoliella voucher CLV270811 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,712,712,100%,0.0,97.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN280313.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""JN280313.1"")"
"Phyllonorycter quercifoliella cerris voucher CLV2717 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella cerris,708,708,97%,0.0,98.03,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW211352.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""MW211352.1"")"
"Phyllonorycter quercifoliella voucher CLV2565 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX045127.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""KX045127.1"")"
"Phyllonorycter quercifoliella voucher TLMF Lep 14686 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253707.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""KP253707.1"")"
"Phyllonorycter quercifoliella voucher BC ZSM Lep 79556 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214067.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""MW214067.1"")"
"Phyllonorycter quercifoliella voucher BC ZSM Lep 99808 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214036.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""MW214036.1"")"
"Phyllonorycter quercifoliella voucher BC ZSM Lep 99823 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213358.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""MW213358.1"")"
"Phyllonorycter quercifoliella voucher TLMF Lep 18202 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phyllonorycter quercifoliella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213138.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""MW213138.1"")"
