Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Agriphila inquinatella voucher LEP-SS-00338 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila inquinatella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KU497306.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP03A6U016"",""KU497306.1"")"
"Agriphila inquinatella voucher MM01886 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila inquinatella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871313.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP03A6U016"",""HM871313.1"")"
"Agriphila inquinatella voucher MM04957 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila inquinatella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872618.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP03A6U016"",""HM872618.1"")"
"Agriphila inquinatella voucher MM13032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila inquinatella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875474.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP03A6U016"",""HM875474.1"")"
"Agriphila inquinatella voucher MM22627 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila inquinatella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572064.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP03A6U016"",""KM572064.1"")"
"Agriphila inquinatella voucher BC ZSM Lep 23789 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila inquinatella,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706433.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP03A6U016"",""GU706433.1"")"
"Agriphila inquinatella voucher TLMF Lep 08730 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila inquinatella,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572252.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP03A6U016"",""KM572252.1"")"
"Agriphila inquinatella voucher UKLB40H06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila inquinatella,721,721,98%,0.0,98.30,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043127.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP03A6U016"",""KX043127.1"")"
"Agriphila inquinatella mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher LEP955",Agriphila inquinatella,717,717,100%,0.0,96.89,1345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR135699.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP03A6U016"",""LR135699.1"")"
"Agriphila geniculea voucher TLMF Lep 12609 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Agriphila geniculea,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253244.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP03A6U016"",""KP253244.1"")"
