Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Dichrorampha simpliciana voucher BC ZSM Lep 38049 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,678,678,100%,0.0,95.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ955683.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNTKHYS013"",""HQ955683.1"")"
"Dichrorampha simpliciana voucher MM03494 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,678,678,100%,0.0,95.93,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871995.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNTKHYS013"",""HM871995.1"")"
"Dichrorampha simpliciana voucher MM13320 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,678,678,100%,0.0,95.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875587.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNTKHYS013"",""HM875587.1"")"
"Dichrorampha simpliciana voucher MM26702 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ706433.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNTKHYS013"",""OQ706433.1"")"
"Dichrorampha simpliciana voucher MM02165 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871430.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNTKHYS013"",""HM871430.1"")"
"Dichrorampha simpliciana voucher BC ZSM Lep 24866 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706808.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNTKHYS013"",""GU706808.1"")"
"Dichrorampha simpliciana voucher TLMF Lep 08733 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573149.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNTKHYS013"",""KM573149.1"")"
"Dichrorampha cancellatana voucher SWC-06-0226 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha cancellatana,658,658,97%,0.0,95.81,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF491686.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNTKHYS013"",""KF491686.1"")"
"Dichrorampha simpliciana voucher UKLB40G08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,651,651,100%,0.0,94.74,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044073.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNTKHYS013"",""KX044073.1"")"
"Dichrorampha simpliciana voucher NHMO-08261 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha simpliciana,630,630,100%,6e-176,93.78,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047839.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNTKHYS013"",""KX047839.1"")"
"Dichrorampha alpinana voucher BC ZSM Lep 64330 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha alpinana,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044303.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GNTKHYS013"",""KX044303.1"")"
"Dichrorampha alpinana voucher MM26694 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha alpinana,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ706460.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GNTKHYS013"",""OQ706460.1"")"
"Dichrorampha alpinana voucher TLMF Lep 08427 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha alpinana,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573341.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GNTKHYS013"",""KM573341.1"")"
"Dichrorampha alpinana voucher MM11046 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha alpinana,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874957.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GNTKHYS013"",""HM874957.1"")"
"Dichrorampha alpinana voucher MM11045 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha alpinana,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874956.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GNTKHYS013"",""HM874956.1"")"
"Dichrorampha flavidorsana voucher MM26695 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha flavidorsana,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ706468.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GNTKHYS013"",""OQ706468.1"")"
"Dichrorampha flavidorsana voucher MM14682 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha flavidorsana,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876216.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GNTKHYS013"",""HM876216.1"")"
"Dichrorampha flavidorsana voucher BC ZSM Lep 24869 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha flavidorsana,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706817.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GNTKHYS013"",""GU706817.1"")"
"Dichrorampha flavidorsana voucher UKLB40G07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha flavidorsana,617,617,100%,4e-172,93.30,638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043573.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GNTKHYS013"",""KX043573.1"")"
"Dichrorampha tarmanni voucher TLMF Lep 00985 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha tarmanni,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM381550.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GNTKHYS013"",""HM381550.1"")"
"Dichrorampha alpinana voucher UKLB42G10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha alpinana,616,616,97%,2e-171,93.87,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043540.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GNTKHYS013"",""KX043540.1"")"
"Dichrorampha sedatana voucher TLMF Lep 00188 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha sedatana,614,614,100%,6e-171,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU689195.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GNTKHYS013"",""GU689195.1"")"
"Dichrorampha plumbana voucher MM26701 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Dichrorampha plumbana,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ706419.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GNTKHYS013"",""OQ706419.1"")"
