Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella lapponica voucher MM02646 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782327.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""KT782327.1"")"
"Stigmella lapponica voucher MM02645 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871649.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNGZJNE013"",""HM871649.1"")"
"Stigmella lapponica voucher BIOUG03102-A01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM552283.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNGZJNE013"",""KM552283.1"")"
"Stigmella lapponica voucher BIOUG05354-E06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,739,739,100%,0.0,98.56,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM542376.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNGZJNE013"",""KM542376.1"")"
"Stigmella lapponica voucher MM09950 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lapponica,739,739,97%,0.0,99.51,646,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874497.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNGZJNE013"",""HM874497.1"")"
"Stigmella confusella voucher MM14625 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,684,684,100%,0.0,96.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876190.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNGZJNE013"",""HM876190.1"")"
"Stigmella confusella voucher MM14077 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,684,684,100%,0.0,96.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875877.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNGZJNE013"",""HM875877.1"")"
"Stigmella confusella voucher RMNH.INS.11600 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,678,678,99%,0.0,96.14,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281259.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNGZJNE013"",""KX281259.1"")"
"Stigmella confusella voucher MM21194 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,678,678,100%,0.0,95.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782417.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNGZJNE013"",""KT782417.1"")"
"Stigmella confusella voucher MM00551 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella confusella,678,678,100%,0.0,95.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871064.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNGZJNE013"",""HM871064.1"")"
"Stigmella sp. PourthiaeaTaiwan voucher RMNH.INS.29399 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. PourthiaeaTaiwan,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281323.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GNGZJNE013"",""KX281323.1"")"
