Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella luteella voucher KLM Lep 00297 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047523.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KX047523.1"")"
"Stigmella luteella voucher MM00928 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871264.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""HM871264.1"")"
"Stigmella luteella voucher MM00927 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871263.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""HM871263.1"")"
"Stigmella luteella voucher MM18053 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella luteella,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854088.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""JF854088.1"")"
"Stigmella corylifoliella voucher BIOUG03102-A07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM553073.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""KM553073.1"")"
"Stigmella corylifoliella voucher BIOUG03754-B03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541426.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""KM541426.1"")"
"Stigmella corylifoliella voucher BIOUG03431-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM544018.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""KM544018.1"")"
"Stigmella corylifoliella voucher BIOUG03431-G08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,654,654,99%,0.0,94.96,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551316.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""KM551316.1"")"
"Stigmella corylifoliella voucher BIOUG03754-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,654,654,99%,0.0,94.96,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540239.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""KM540239.1"")"
"Stigmella caryaefoliella voucher CNCLEP00042454 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella caryaefoliella,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM431822.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""HM431822.1"")"
"Stigmella corylifoliella voucher BIOUG03431-G09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella corylifoliella,643,643,99%,7e-180,94.48,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541411.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""KM541411.1"")"
