Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Polix coloradella voucher 10-JDWBC-0751 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Polix coloradella,571,571,99%,3e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM869720.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""HM869720.1"")"
"Procometis sp. ANIC2 voucher 10ANIC-12305 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Procometis sp. ANIC2,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ924026.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GJEE4XV016"",""HQ924026.1"")"
"Promalactis sp. NKU WQY0091 voucher NKU-WQY0091 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Promalactis sp. NKU WQY0091,562,562,100%,2e-155,90.91,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN852929.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GJEE4XV016"",""MN852929.1"")"
"Elachypteryx erebenna voucher CCDB-15849-D11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachypteryx erebenna,562,562,100%,2e-155,90.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF391095.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GJEE4XV016"",""KF391095.1"")"
"Colobura annulata voucher PM01_16 cytochrome oxidase c subunit I (COI) gene, partial cds; mitochondrial",Colobura annulata,562,562,100%,2e-155,90.93,1475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW318380.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GJEE4XV016"",""MW318380.1"")"
"Lepidoptera sp. BOLD:AAU3742 voucher TLMF Lep 03673 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Denisia fuscicapitella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN274721.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GJEE4XV016"",""JN274721.1"")"
"Procometis sp. ANIC2 voucher 10ANIC-12307 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Procometis sp. ANIC2,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ924028.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GJEE4XV016"",""HQ924028.1"")"
"Polix coloradella voucher 2005-ONT-419 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Polix coloradella,560,560,99%,8e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126943.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GJEE4XV016"",""KT126943.1"")"
"Promalactis jezonica voucher KTP-06-0105 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Promalactis jezonica,560,560,99%,8e-155,90.91,611,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF523822.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GJEE4XV016"",""KF523822.1"")"
"Parachaetolopha sp. INDOBIOSYS-CCDB27009-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parachaetolopha sp. INDOBIOSYS-CCDB27009-A02,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH095294.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GJEE4XV016"",""MH095294.1"")"
