Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Recurvaria leucatella voucher NHMO-07051 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,662,662,100%,0.0,95.22,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047883.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNTKHYS013"",""KX047883.1"")"
"Recurvaria leucatella voucher BC ZSM Lep 61590 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047248.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNTKHYS013"",""KX047248.1"")"
"Recurvaria leucatella voucher TLMF Lep 08296 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572548.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNTKHYS013"",""KM572548.1"")"
"Recurvaria leucatella voucher BC ZSM Lep 38059 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ563663.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNTKHYS013"",""HQ563663.1"")"
"Recurvaria leucatella voucher BC ZSM Lep 70362 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,658,658,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN805524.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNTKHYS013"",""MN805524.1"")"
"Recurvaria leucatella voucher TLMF Lep 05292 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN806756.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNTKHYS013"",""MN806756.1"")"
"Recurvaria leucatella voucher TLMF Lep 08220 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573358.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNTKHYS013"",""KM573358.1"")"
"Recurvaria leucatella voucher BC ZSM Lep 25267 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,656,656,100%,0.0,94.98,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ955187.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNTKHYS013"",""HQ955187.1"")"
"Recurvaria leucatella voucher MM02317 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871481.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNTKHYS013"",""HM871481.1"")"
"Recurvaria leucatella voucher TLMF Lep 00143 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU689202.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNTKHYS013"",""GU689202.1"")"
"Recurvaria leucatella voucher BIOUG16351-C06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,627,627,94%,7e-175,95.20,636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN806301.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GNTKHYS013"",""MN806301.1"")"
"Recurvaria leucatella voucher MM05044 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,616,616,93%,2e-171,95.13,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872658.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GNTKHYS013"",""HM872658.1"")"
"Recurvaria leucatella voucher BIOUG17377-B02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,568,568,84%,5e-157,95.74,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN806513.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GNTKHYS013"",""MN806513.1"")"
"Recurvaria leucatella voucher BIOUG17379-E04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,562,562,84%,2e-155,95.45,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN805806.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GNTKHYS013"",""MN805806.1"")"
"Recurvaria leucatella voucher BC ZSM Lep 72465 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,560,560,85%,8e-155,94.96,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN803817.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GNTKHYS013"",""MN803817.1"")"
"Recurvaria leucatella voucher BIOUG17441-G10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,556,556,83%,1e-153,95.42,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN804046.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GNTKHYS013"",""MN804046.1"")"
"Recurvaria leucatella voucher BIOUG17377-G10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,556,556,83%,1e-153,95.42,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN805283.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GNTKHYS013"",""MN805283.1"")"
"Lepidoptera sp. BOLD:AAH5843 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAH5843,544,544,99%,8e-150,90.24,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM410917.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GNTKHYS013"",""HM410917.1"")"
"Chabula telphusalis P17-116 mitochondrial COX1 gene for cytochrome c oxidase subunit 1, partial cds",Chabula telphusalis,538,538,99%,4e-148,89.95,1480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC697842.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GNTKHYS013"",""LC697842.1"")"
"Recurvaria leucatella voucher BIOUG17377-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Recurvaria leucatella,534,534,80%,5e-147,95.25,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN806222.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GNTKHYS013"",""MN806222.1"")"
"Stenoma sp. Janzen27DHJ01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stenoma sp. Janzen27DHJ01,534,534,100%,5e-147,89.74,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ541245.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GNTKHYS013"",""JQ541245.1"")"
"Stenoma sp. Janzen27DHJ01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stenoma sp. Janzen27DHJ01,534,534,100%,5e-147,89.74,622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ541244.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GNTKHYS013"",""JQ541244.1"")"
"Stenoma sp. Janzen27DHJ01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stenoma sp. Janzen27DHJ01,534,534,100%,5e-147,89.74,622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ541242.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GNTKHYS013"",""JQ541242.1"")"
"Lepidoptera sp. BOLD:AAB9117 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAB9117,534,534,100%,5e-147,89.74,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU649041.1?report=genbank&log$=nucltop&blast_rank=24&RID=8GNTKHYS013"",""GU649041.1"")"
"Heliconius melpomene plesseni voucher NCS2507-STRI cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Heliconius melpomene plesseni,532,532,99%,2e-146,89.69,683,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ174916.1?report=genbank&log$=nucltop&blast_rank=25&RID=8GNTKHYS013"",""KJ174916.1"")"
"Scoparia pediopola voucher CCDB-15861-E04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Scoparia pediopola,532,532,99%,2e-146,89.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF388991.1?report=genbank&log$=nucltop&blast_rank=26&RID=8GNTKHYS013"",""KF388991.1"")"
"Lepidoptera sp. BOLD:AAV3168 voucher USNMENT00719472 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xenolechia ceanothiae,532,532,99%,2e-146,89.71,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN270988.1?report=genbank&log$=nucltop&blast_rank=27&RID=8GNTKHYS013"",""JN270988.1"")"
"Stenoma sp. Janzen27DHJ01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stenoma sp. Janzen27DHJ01,529,529,100%,2e-145,89.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ538056.1?report=genbank&log$=nucltop&blast_rank=28&RID=8GNTKHYS013"",""JQ538056.1"")"
"Lepidoptera sp. BOLD:AAA0015 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAA0015,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN297034.1?report=genbank&log$=nucltop&blast_rank=29&RID=8GNTKHYS013"",""JN297034.1"")"
"Lepidoptera sp. BOLD:AAA0015 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAA0015,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ556057.1?report=genbank&log$=nucltop&blast_rank=30&RID=8GNTKHYS013"",""HQ556057.1"")"
"Lepidoptera sp. BOLD:AAB9117 voucher 09-SRNP-5115 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAB9117,529,529,100%,2e-145,89.50,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM885210.1?report=genbank&log$=nucltop&blast_rank=31&RID=8GNTKHYS013"",""HM885210.1"")"
"Lepidoptera sp. BOLD:AAA0015 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAA0015,529,529,100%,2e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM402058.1?report=genbank&log$=nucltop&blast_rank=32&RID=8GNTKHYS013"",""HM402058.1"")"
"Lepidoptera sp. BOLD:AAB9117 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAB9117,529,529,100%,2e-145,89.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM408294.1?report=genbank&log$=nucltop&blast_rank=33&RID=8GNTKHYS013"",""HM408294.1"")"
"Carpatolechia aenigma voucher TLMF Lep 24272 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Carpatolechia aenigma,527,527,99%,8e-145,89.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN804434.1?report=genbank&log$=nucltop&blast_rank=34&RID=8GNTKHYS013"",""MN804434.1"")"
"Caryocolum baischi voucher TLMF Lep 25550 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Caryocolum baischi,527,527,99%,8e-145,89.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN805117.1?report=genbank&log$=nucltop&blast_rank=35&RID=8GNTKHYS013"",""MN805117.1"")"
"Istrianis femoralis voucher TLMF Lep 24256 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Istrianis femoralis,527,527,99%,8e-145,89.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN805102.1?report=genbank&log$=nucltop&blast_rank=36&RID=8GNTKHYS013"",""MN805102.1"")"
"Oecophoridae sp. voucher BIOUG13316-G12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Oecophoridae sp.,527,527,99%,8e-145,89.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM593407.1?report=genbank&log$=nucltop&blast_rank=37&RID=8GNTKHYS013"",""OM593407.1"")"
