Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Geometra papilionaria herbacearia isolate WLS130721.134 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Geometra papilionaria herbacearia,734,734,100%,0.0,98.33,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF054538.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""MF054538.1"")"
"Geometra symaria voucher 9287 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Geometra symaria,734,734,100%,0.0,98.33,1371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG014775.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""MG014775.1"")"
"Geometra symaria voucher 16550 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Geometra symaria,734,734,100%,0.0,98.33,1371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG014774.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""MG014774.1"")"
"Geometra papilionaria herbacearia isolate WLS130803.614 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Geometra papilionaria herbacearia,723,723,100%,0.0,97.85,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF055530.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""MF055530.1"")"
"Geometra papilionaria herbacearia isolate WLS130721.082 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Geometra papilionaria herbacearia,723,723,100%,0.0,97.85,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF054496.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""MF054496.1"")"
"Geometra papilionaria herbacearia isolate WLS130721.047 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Geometra papilionaria herbacearia,723,723,100%,0.0,97.85,636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF054467.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""MF054467.1"")"
"Geometra papilionaria isolate WLS100722.867 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Geometra papilionaria,723,723,100%,0.0,97.85,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF053728.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""MF053728.1"")"
"Geometra papilionaria isolate SS110803.094 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Geometra papilionaria,723,723,100%,0.0,97.85,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF052337.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""MF052337.1"")"
"Ophthalmitis albosignaria isolate SS100718.467 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Ophthalmitis albosignaria,717,717,100%,0.0,97.61,636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF051721.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""MF051721.1"")"
"Geometra papilionaria voucher BC ZSM SS Lep 0023 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Geometra papilionaria,701,701,100%,0.0,96.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF807397.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""KF807397.1"")"
"Geometra papilionaria voucher BC ZSM Lep 02833 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Geometra papilionaria,695,695,100%,0.0,96.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU655815.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""GU655815.1"")"
"Geometra papilionaria voucher BC ZSM Lep 02832 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Geometra papilionaria,689,689,100%,0.0,96.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF415298.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""JF415298.1"")"
"Geometra papilionaria voucher UKLB37D12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Geometra papilionaria,684,684,100%,0.0,96.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF807991.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""KF807991.1"")"
"Geometra papilionaria voucher BC ZSM Lep 24075 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Geometra papilionaria,684,684,100%,0.0,96.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ601339.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""HQ601339.1"")"
