Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Lycaena virgaureae voucher TLMF Lep 05461 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG522399.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GMN8PEH013"",""MG522399.1"")"
"Lycaena virgaureae voucher TLMF Lep 12603 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573555.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GMN8PEH013"",""KM573555.1"")"
"Lycaena virgaureae voucher RVcoll.14-E915 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW503048.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GMN8PEH013"",""MW503048.1"")"
"Lycaena virgaureae voucher MM23809 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW502642.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GMN8PEH013"",""MW502642.1"")"
"Lycaena virgaureae voucher RVcoll15Q174 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW502426.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GMN8PEH013"",""MW502426.1"")"
"Lycaena virgaureae voucher RVcoll.14-F322 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW501759.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GMN8PEH013"",""MW501759.1"")"
"Lycaena virgaureae voucher RVcoll.14-G449 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW501201.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GMN8PEH013"",""MW501201.1"")"
"Lycaena virgaureae voucher RVcoll.14-C629 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW501031.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GMN8PEH013"",""MW501031.1"")"
"Lycaena virgaureae voucher RVcoll15Q169 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW500870.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GMN8PEH013"",""MW500870.1"")"
"Lycaena virgaureae voucher RVcoll15H670 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lycaena virgaureae,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW500179.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GMN8PEH013"",""MW500179.1"")"
