Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella anomalella voucher MM09602 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874369.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM874369.1"")"
"Stigmella anomalella voucher MM00358 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,761,761,100%,0.0,99.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM870979.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""HM870979.1"")"
"Stigmella anomalella voucher RMNH.INS.29607 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281462.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""KX281462.1"")"
"Stigmella centifoliella voucher MM19322 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella centifoliella,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283994.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""JN283994.1"")"
"Stigmella anomalella voucher RMNH INS no 11294 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Stigmella anomalella,645,645,100%,2e-180,94.50,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF382764.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""EF382764.1"")"
"Stigmella sp. BIOUG22049-A05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. BIOUG22049-A05,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG363534.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""MG363534.1"")"
"Stigmella continuella voucher RMNH.INS.12779 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella continuella,640,640,100%,9e-179,94.26,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281265.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""KX281265.1"")"
"Stigmella continuella voucher MM18056 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella continuella,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854091.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""JF854091.1"")"
"Stigmella sp. CastanopsisTaiwan voucher RMNH.INS.29279 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. CastanopsisTaiwan,638,638,99%,3e-178,94.24,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281405.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""KX281405.1"")"
"Stigmella anomalella voucher BIOUG26426-H04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG467346.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""MG467346.1"")"
"Stigmella sp. mahonia_usa voucher BIOUG05354-G08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. mahonia_usa,634,634,100%,4e-177,94.02,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546342.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""KM546342.1"")"
"Stigmella tityrella voucher MM19326 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tityrella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283997.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""JN283997.1"")"
"Stigmella lemniscella voucher MM09646 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lemniscella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874401.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""HM874401.1"")"
"Stigmella lemniscella voucher RMNH.INS.12968 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lemniscella,628,628,100%,2e-175,93.78,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281284.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""KX281284.1"")"
"Stigmella sp. MahoniaUSA voucher RMNH.INS.18157 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. MahoniaUSA,628,628,99%,2e-175,93.98,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281245.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""KX281245.1"")"
"Stigmella sp. mahonia_usa voucher BIOUG03197-A08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. mahonia_usa,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM554039.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""KM554039.1"")"
"Stigmella quercipulchella voucher jflandry0491 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,625,625,99%,3e-174,93.75,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096109.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""GU096109.1"")"
