Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Parornix traugotti voucher MM19367 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix traugotti,713,713,100%,0.0,97.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782691.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""KT782691.1"")"
"Parornix sp. BOLD-2016 voucher MDH000986 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix sp. BOLD-2016,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT127255.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNGZJNE013"",""KT127255.1"")"
"Parornix polygrammella voucher MM06300 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix polygrammella,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873185.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNGZJNE013"",""HM873185.1"")"
"Parornix polygrammella voucher NHMO-DAR-10440 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix polygrammella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW214561.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNGZJNE013"",""MW214561.1"")"
"Parornix polygrammella voucher NHMO-DAR-6136 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix polygrammella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW212663.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNGZJNE013"",""MW212663.1"")"
"Parornix polygrammella voucher MM18090 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix polygrammella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854115.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNGZJNE013"",""JF854115.1"")"
"Parornix polygrammella voucher MM06333 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix polygrammella,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873205.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNGZJNE013"",""HM873205.1"")"
"Parornix polygrammella voucher NHMO-DAR-6137 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix polygrammella,662,662,100%,0.0,94.50,697,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW213525.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNGZJNE013"",""MW213525.1"")"
"Parornix ermolaevi voucher NK546 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix ermolaevi,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK403727.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNGZJNE013"",""MK403727.1"")"
"Parornix sp. DRD30 voucher BIOUG01146-A11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix sp. DRD30,645,645,100%,2e-180,94.50,609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT130821.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNGZJNE013"",""KT130821.1"")"
"Parornix sp. DRD30 voucher MDH004250 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix sp. DRD30,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF808481.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GNGZJNE013"",""KF808481.1"")"
"Parornix ermolaevi voucher NK544 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Parornix ermolaevi,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK403689.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GNGZJNE013"",""MK403689.1"")"
