Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora serratella voucher BIOUG02881-F05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,767,767,100%,0.0,99.76,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT125113.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KT125113.1"")"
"Coleophora serratella voucher MM00068 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora serratella,767,767,100%,0.0,99.76,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU828595.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""GU828595.1"")"
"Coleophora serratella voucher MM00067 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora serratella,767,767,100%,0.0,99.76,611,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU828594.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""GU828594.1"")"
"Coleophora serratella voucher jflandry0507 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095755.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""GU095755.1"")"
"Coleophora serratella voucher AC005061 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,763,763,100%,0.0,99.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT127973.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""KT127973.1"")"
"Coleophora serratella voucher MM09574 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,761,761,100%,0.0,99.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874355.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""HM874355.1"")"
"Coleophora serratella voucher MM06827 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,760,760,99%,0.0,99.76,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873519.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""HM873519.1"")"
"Coleophora serratella voucher BIOUG02881-F04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,756,756,100%,0.0,99.28,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129576.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""KT129576.1"")"
"Coleophora serratella voucher BIOUG02881-G07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora serratella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT127272.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""KT127272.1"")"
"Coleophora sp. NOTANT-DK-HO isolate 240 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. NOTANT-DK-HO,756,756,100%,0.0,99.28,636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441601.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""MW441601.1"")"
"Coleophora sp. NOTANT-DK-HO isolate 239 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Coleophora sp. NOTANT-DK-HO,756,756,100%,0.0,99.28,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441600.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""MW441600.1"")"
"Coleophora serratella voucher Lep182 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora serratella,756,756,100%,0.0,99.28,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248817.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""JN248817.1"")"
