Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Batia lunaris voucher UBC-2007-0323 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,627,627,94%,7e-175,96.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412201.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP51B9F016"",""FJ412201.1"")"
"Batia lunaris voucher UBC-2007-0555 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,627,627,94%,7e-175,96.33,638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412198.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP51B9F016"",""FJ412198.1"")"
"Batia lunaris voucher UBC-2007-0558 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,627,627,94%,7e-175,96.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412195.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP51B9F016"",""FJ412195.1"")"
"Batia lunaris voucher UBC-2007-0321 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,623,623,94%,9e-174,96.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412203.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP51B9F016"",""FJ412203.1"")"
"Batia lunaris voucher BIOUG28053-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,584,584,88%,4e-162,96.34,594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359074.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP51B9F016"",""MG359074.1"")"
"Batia lunaris voucher BIOUG18890-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,577,577,86%,7e-160,96.55,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR939269.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP51B9F016"",""KR939269.1"")"
"Batia lunaris voucher BIOUG28193-F05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,564,564,85%,6e-156,96.21,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359120.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP51B9F016"",""MG359120.1"")"
"Batia lunaris voucher BIOUG28104-C11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,556,556,83%,9e-154,96.44,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG364373.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP51B9F016"",""MG364373.1"")"
"Batia internella voucher BC ZSM Lep 61431 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia internella,544,544,94%,7e-150,92.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046016.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP51B9F016"",""KX046016.1"")"
"Batia lambdella voucher TLMF Lep 02264 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lambdella,516,516,94%,2e-141,91.08,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859839.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP51B9F016"",""JF859839.1"")"
"Batia lambdella voucher TLMF Lep 02222 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lambdella,516,516,94%,2e-141,91.08,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859804.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GP51B9F016"",""JF859804.1"")"
"Batia lambdella voucher BC ZSM Lep 37813 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lambdella,516,516,94%,2e-141,91.08,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ563634.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GP51B9F016"",""HQ563634.1"")"
