Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Platytes cerussella voucher TLMF Lep 01528 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes cerussella,695,695,100%,0.0,96.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ968740.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""HQ968740.1"")"
"Platytes cerussella voucher TLMF Lep 05207 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes cerussella,689,689,100%,0.0,96.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX042695.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GJEE4XV016"",""KX042695.1"")"
"Platytes cerussella voucher MM10547 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes cerussella,689,689,100%,0.0,96.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874801.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GJEE4XV016"",""HM874801.1"")"
"Platytes cerussella voucher BC ZSM Lep 27065 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes cerussella,689,689,100%,0.0,96.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU707116.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GJEE4XV016"",""GU707116.1"")"
"Platytes cerussella voucher UKLB40H10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes cerussella,680,680,98%,0.0,96.37,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043528.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GJEE4XV016"",""KX043528.1"")"
"Platytes cerussella voucher BC ZSM Lep 53044 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes cerussella,667,667,97%,0.0,96.31,646,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX045983.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GJEE4XV016"",""KX045983.1"")"
"Platytes alpinella mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher LEP2674",Platytes alpinella,562,562,100%,2e-155,90.91,1345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR135721.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GJEE4XV016"",""LR135721.1"")"
"Platytes alpinella voucher RMNH.INS.539072 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes alpinella,562,562,100%,2e-155,90.91,613,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048716.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GJEE4XV016"",""KX048716.1"")"
"Platytes alpinella voucher BC ZSM Lep 22930 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes alpinella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU686709.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GJEE4XV016"",""GU686709.1"")"
"Platytes alpinella voucher BC ZSM Lep 25366 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Platytes alpinella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706666.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GJEE4XV016"",""GU706666.1"")"
