Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Lampronia aenescens voucher BIOUG03197-G12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia aenescens,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM548289.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""KM548289.1"")"
"Lampronia aenescens cytochrome oxidase subunit I (COI) gene, partial cds; tRNA-Leu gene, complete sequence; and cytochrome oxidase subunit II (COII) gene, partial cds; mitochondrial genes for mitochondrial products",Lampronia aenescens,612,612,100%,2e-170,93.06,2104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF150912.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNGZJNE013"",""AF150912.1"")"
"Lampronia aenescens voucher BIOUG00838-B12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia aenescens,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551680.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNGZJNE013"",""KM551680.1"")"
"Lampronia aenescens voucher 10BBCLP-2471 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia aenescens,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM547668.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNGZJNE013"",""KM547668.1"")"
"Lampronia aenescens voucher 10BBCLP-2477 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia aenescens,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM543670.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNGZJNE013"",""KM543670.1"")"
"Lampronia aenescens voucher BIOUG<CAN>:08BBLEP-05920 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia aenescens,584,584,100%,4e-162,91.87,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM388127.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNGZJNE013"",""HM388127.1"")"
"Lampronia morosa voucher MM03767 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia morosa,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872138.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNGZJNE013"",""HM872138.1"")"
"Lampronia aenescens voucher BIOUG03079-D05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia aenescens,538,538,89%,4e-148,92.53,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540595.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNGZJNE013"",""KM540595.1"")"
"Lampronia standfussiella voucher TLMF Lep 02786 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia standfussiella,532,532,99%,2e-146,89.71,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF860288.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNGZJNE013"",""JF860288.1"")"
"Lampronia sublustris cytochrome oxidase subunit I (COI) gene, partial cds; tRNA-Leu gene, complete sequence; and cytochrome oxidase subunit II (COII) gene, partial cds; mitochondrial",Lampronia sublustris,532,532,99%,2e-146,89.69,2036,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU884125.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNGZJNE013"",""EU884125.1"")"
"Lampronia standfussiella voucher TLMF Lep 02738 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia standfussiella,527,527,99%,8e-145,89.47,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF860258.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GNGZJNE013"",""JF860258.1"")"
"Lampronia standfussiella voucher MM15518 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia standfussiella,527,527,99%,8e-145,89.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876315.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GNGZJNE013"",""HM876315.1"")"
"Lampronia aenescens voucher BIOUG17584-B07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia aenescens,523,523,88%,1e-143,92.16,609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT134624.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GNGZJNE013"",""KT134624.1"")"
"Lampronia flavimitrella voucher MM08375 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lampronia flavimitrella,521,521,99%,4e-143,89.37,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873888.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GNGZJNE013"",""HM873888.1"")"
