Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Charanyca ferruginea genome assembly, chromosome: 1",Charanyca ferruginea,756,756,100%,0.0,99.28,37842521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX376057.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""OX376057.1"")"
"Charanyca ferruginea voucher NHMO-06032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Charanyca ferruginea,699,699,99%,0.0,96.88,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049370.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""KX049370.1"")"
"Charanyca ferruginea genome assembly, organelle: mitochondrion",Charanyca ferruginea,699,699,99%,0.0,96.88,15361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX376086.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""OX376086.1"")"
"Charanyca ferruginea voucher BC ZSM Lep 36684 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Charanyca ferruginea,699,699,99%,0.0,96.88,635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ565509.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""HQ565509.1"")"
"Charanyca ferruginea voucher UKLB24G12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Charanyca ferruginea,699,699,99%,0.0,96.88,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM405716.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""HM405716.1"")"
"Charanyca ferruginea voucher MM01538 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Charanyca ferruginea,699,699,99%,0.0,96.88,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM386807.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""HM386807.1"")"
"Charanyca ferruginea voucher TLMF Lep 08138 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Charanyca ferruginea,699,699,99%,0.0,96.88,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572016.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""KM572016.1"")"
"Noctuidae sp. sc_05823 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Noctuidae sp. sc_05823,643,643,99%,7e-180,94.48,609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX054080.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""KX054080.1"")"
"Athetis thoracica voucher RMNH.INS.19088 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Athetis thoracica,643,643,99%,7e-180,94.48,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM877157.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""HM877157.1"")"
"Athetis thoracica voucher 10ANIC-07734 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Athetis thoracica,643,643,99%,7e-180,94.48,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ950803.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""HQ950803.1"")"
"Athetis thoracica voucher 10ANIC-07735 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Athetis thoracica,643,643,99%,7e-180,94.48,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ950804.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""HQ950804.1"")"
"Athetis thoracica isolate 1406 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Athetis thoracica,638,638,99%,3e-178,94.24,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT988582.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""KT988582.1"")"
"Athetis thoracica voucher RMNH.INS.19087 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Athetis thoracica,638,638,99%,3e-178,94.24,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM877156.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""HM877156.1"")"
"Euxoa inconcinna voucher BIOUG<CAN>:09BBLEP-03991 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,638,638,99%,3e-178,94.24,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU692298.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""GU692298.1"")"
"Euxoa inconcinna voucher IAWAZ-1450 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921872.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""MF921872.1"")"
"Euxoa inconcinna voucher BIOUG01987-H06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921696.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""MF921696.1"")"
"Euxoa inconcinna voucher CNC LEP 00047508 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920871.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""MF920871.1"")"
"Euxoa inconcinna voucher RR-98-2159 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,632,632,99%,2e-176,94.00,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF492351.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""KF492351.1"")"
"Euxoa inconcinna voucher CNCLEP 80154 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN284272.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""JN284272.1"")"
"Euxoa inconcinna voucher BIOUG<CAN>:09BBLEP-03754 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,632,632,99%,2e-176,94.00,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU691475.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""GU691475.1"")"
"Euxoa inconcinna voucher BIOUG<CAN>:09BBLEP-03598 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU691233.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""GU691233.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04575 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU694559.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""GU694559.1"")"
"Euxoa inconcinna voucher IAWAZ-1435 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa inconcinna,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921704.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""MF921704.1"")"
"Euxoa cinnabarina voucher CNCI00040579 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa cinnabarina,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921302.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""MF921302.1"")"
"Euxoa terrealis voucher CCDB-20285-H07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa terrealis,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF920997.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""MF920997.1"")"
"Euxoa auxiliaris cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281199.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""KX281199.1"")"
"Charanyca ferruginea voucher NHMO-06204 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Charanyca ferruginea,627,627,88%,7e-175,97.29,608,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048189.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""KX048189.1"")"
"Euxoa auxiliaris voucher 08BBLEP-01678 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ383781.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""KJ383781.1"")"
"Euxoa auxiliaris voucher RSP-97-0728 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF492347.1?report=genbank&log$=nucltop&blast_rank=29&RID=8E8XF8GY016"",""KF492347.1"")"
"Euxoa auxiliaris voucher RSP-97-0730 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF492346.1?report=genbank&log$=nucltop&blast_rank=30&RID=8E8XF8GY016"",""KF492346.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:10BBLEP-00291 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ985643.1?report=genbank&log$=nucltop&blast_rank=31&RID=8E8XF8GY016"",""HQ985643.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:10BBLEP-01143 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ583261.1?report=genbank&log$=nucltop&blast_rank=32&RID=8E8XF8GY016"",""HQ583261.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04255 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428479.1?report=genbank&log$=nucltop&blast_rank=33&RID=8E8XF8GY016"",""HM428479.1"")"
"Lacinipolia sp. BOLD:AAH6216 voucher TDGAB-0802 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lacinipolia sp. BOLD:AAH6216,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM892332.1?report=genbank&log$=nucltop&blast_rank=34&RID=8E8XF8GY016"",""HM892332.1"")"
"Euxoa auxiliaris voucher BIOUG<CAN>:09BBLEP-04347 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Euxoa auxiliaris,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428569.1?report=genbank&log$=nucltop&blast_rank=35&RID=8E8XF8GY016"",""HM428569.1"")"
