Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coleophora badiipennella voucher MM25040 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,612,612,100%,2e-170,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608610.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""MZ608610.1"")"
"Coleophora badiipennella voucher Lep212 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,612,612,100%,2e-170,93.30,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248844.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""JN248844.1"")"
"Coleophora badiipennella voucher jflandry0922 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,612,612,100%,2e-170,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095705.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""GU095705.1"")"
"Coleophora badiipennella voucher jflandry0618 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora badiipennella,603,603,100%,1e-167,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095704.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""GU095704.1"")"
"Coleophora milvipennis voucher Lep197 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,595,595,100%,2e-165,92.58,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248830.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""JN248830.1"")"
"Coleophora milvipennis voucher BC ZSM Lep 38109 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,595,595,100%,2e-165,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ563708.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""HQ563708.1"")"
"Coleophora alnifoliae voucher MM25039 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alnifoliae,590,590,100%,1e-163,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608743.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""MZ608743.1"")"
"Coleophora alnifoliae voucher Lep172 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Coleophora alnifoliae,590,590,100%,1e-163,92.34,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN248809.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""JN248809.1"")"
"Coleophora alnifoliae voucher MM18659 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora alnifoliae,590,590,100%,1e-163,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN265342.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""JN265342.1"")"
"Coleophora milvipennis voucher MM02475 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,590,590,100%,1e-163,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871557.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""HM871557.1"")"
"Coleophora milvipennis voucher MM06475 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Coleophora milvipennis,590,590,100%,1e-163,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873273.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""HM873273.1"")"
