Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Batia lunaris voucher UBC-2007-0555 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,651,651,100%,0.0,94.74,638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412198.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP51B9F016"",""FJ412198.1"")"
"Batia lunaris voucher UBC-2007-0558 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,651,651,100%,0.0,94.74,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412195.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP51B9F016"",""FJ412195.1"")"
"Batia lunaris voucher UBC-2007-0321 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,647,647,100%,0.0,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412203.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP51B9F016"",""FJ412203.1"")"
"Batia lunaris voucher UBC-2007-0323 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412201.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP51B9F016"",""FJ412201.1"")"
"Batia internella voucher BC ZSM Lep 61431 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia internella,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046016.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP51B9F016"",""KX046016.1"")"
"Batia lambdella voucher TLMF Lep 02264 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lambdella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859839.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP51B9F016"",""JF859839.1"")"
"Batia lambdella voucher BC ZSM Lep 37813 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lambdella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ563634.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP51B9F016"",""HQ563634.1"")"
"Batia lunaris voucher BIOUG28053-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lunaris,556,556,84%,1e-153,94.93,594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359074.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP51B9F016"",""MG359074.1"")"
"Lepidoptera sp. BOLD:AAK0036 voucher TLMF Lep 03937 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lambdella,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN274842.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP51B9F016"",""JN274842.1"")"
"Batia lambdella voucher TLMF Lep 02222 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Batia lambdella,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859804.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP51B9F016"",""JF859804.1"")"
