Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ypsolopha mucronella voucher BC ZSM Lep 61412 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044948.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP03A6U016"",""KX044948.1"")"
"Ypsolopha mucronella voucher BC ZSM Lep 28329 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040315.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP03A6U016"",""KX040315.1"")"
"Ypsolopha mucronella voucher TLMF Lep 02661 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,656,656,100%,0.0,94.98,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF860193.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP03A6U016"",""JF860193.1"")"
"Zeuzera sp. PK01 voucher NIBGE MOT-01535 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Zeuzera sp. PK01,518,518,100%,5e-142,89.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX861709.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP03A6U016"",""KX861709.1"")"
"Adhemarius gannascus cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Adhemarius gannascus,518,518,100%,5e-142,89.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ578158.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP03A6U016"",""JQ578158.1"")"
"Acosmeryx sinjaevi voucher BC-EMEM0002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acosmeryx sinjaevi,518,518,100%,5e-142,89.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN677660.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP03A6U016"",""JN677660.1"")"
"Ypsolopha falcella voucher TLMF Lep 08241 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha falcella,512,512,100%,2e-140,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573686.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP03A6U016"",""KM573686.1"")"
"Zeuzera sp. BOLD:AAV2990 voucher AYK-04-0779-04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Zeuzera sp. BOLD:AAV2990,512,512,100%,2e-140,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF492184.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP03A6U016"",""KF492184.1"")"
"Adhemarius gannascus cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Adhemarius gannascus,512,512,100%,2e-140,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ566882.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP03A6U016"",""JQ566882.1"")"
"Adhemarius gannascus cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Adhemarius gannascus,512,512,100%,2e-140,88.78,637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ565167.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP03A6U016"",""JQ565167.1"")"
"Adhemarius gannascus cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Adhemarius gannascus,512,512,100%,2e-140,88.78,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ573595.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GP03A6U016"",""JQ573595.1"")"
"Acosmeryx formosana voucher AYK-04-0269 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acosmeryx formosana,512,512,100%,2e-140,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN677653.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GP03A6U016"",""JN677653.1"")"
"Lepidoptera sp. BOLD:AAA2428 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAA2428,512,512,100%,2e-140,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ556749.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GP03A6U016"",""HQ556749.1"")"
"Lepidoptera sp. BOLD:AAA2428 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAA2428,512,512,100%,2e-140,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ555019.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GP03A6U016"",""HQ555019.1"")"
"Ypsolopha yasudai voucher JCS-08-1051 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha yasudai,512,512,100%,2e-140,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU696064.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GP03A6U016"",""GU696064.1"")"
"Ypsolopha yasudai voucher JCS-08-1050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha yasudai,512,512,100%,2e-140,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU696063.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GP03A6U016"",""GU696063.1"")"
"Ypsolopha yasudai voucher JCS-08-1049 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha yasudai,512,512,100%,2e-140,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU696062.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GP03A6U016"",""GU696062.1"")"
"Adhemarius gannascus cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Adhemarius gannascus,512,512,100%,2e-140,88.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU151912.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GP03A6U016"",""GU151912.1"")"
"Adhemarius gannascus cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Adhemarius gannascus,508,508,99%,3e-139,88.73,656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ566884.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GP03A6U016"",""JQ566884.1"")"
"Ypsolopha dentella voucher 2006-ONT-1227 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,507,507,100%,1e-138,88.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT130272.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GP03A6U016"",""KT130272.1"")"
"Zeuzera coffeae isolate PZLS8 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,507,507,100%,1e-138,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862852.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GP03A6U016"",""ON862852.1"")"
"Zeuzera coffeae isolate PZLS7 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Zeuzera coffeae,507,507,100%,1e-138,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON862851.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GP03A6U016"",""ON862851.1"")"
