Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella myrtillella voucher RMNH.INS.23622 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myrtillella,590,590,100%,1e-163,92.11,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988357.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""JN988357.1"")"
"Stigmella trimaculella voucher RMNH.INS.12623 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,584,584,100%,4e-162,91.87,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988385.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GJEE4XV016"",""JN988385.1"")"
"Stigmella trimaculella voucher MM15181 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853533.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GJEE4XV016"",""JF853533.1"")"
"Stigmella trimaculella voucher MM15180 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,584,584,100%,4e-162,91.87,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853532.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GJEE4XV016"",""JF853532.1"")"
"Stigmella salicis voucher MM22077 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782390.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GJEE4XV016"",""KT782390.1"")"
"Stigmella fuscotibiella voucher BIOUG03508-A02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella fuscotibiella,579,579,100%,2e-160,91.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551248.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GJEE4XV016"",""KM551248.1"")"
"Stigmella fuscotibiella voucher BIOUG03508-A08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella fuscotibiella,579,579,100%,2e-160,91.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550257.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GJEE4XV016"",""KM550257.1"")"
"Nepticulidae sp. BOLD:ACB0648 voucher BIOUG03266-E08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:ACB0648,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ088499.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GJEE4XV016"",""KJ088499.1"")"
"Stigmella trimaculella voucher RMNH.INS.12926 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella trimaculella,579,579,100%,2e-160,91.63,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988386.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GJEE4XV016"",""JN988386.1"")"
"Stigmella populetorum voucher BIOUG03431-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella populetorum,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM554125.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GJEE4XV016"",""KM554125.1"")"
"Stigmella fuscotibiella voucher BIOUG03508-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella fuscotibiella,573,573,100%,1e-158,91.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM553549.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GJEE4XV016"",""KM553549.1"")"
"Stigmella fuscotibiella voucher BIOUG03102-D01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella fuscotibiella,573,573,100%,1e-158,91.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM542299.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GJEE4XV016"",""KM542299.1"")"
"Stigmella myrtillella voucher TLMF Lep 09216 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myrtillella,573,573,100%,1e-158,91.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573243.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GJEE4XV016"",""KM573243.1"")"
"Stigmella salicis voucher MM24366 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ611371.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GJEE4XV016"",""MZ611371.1"")"
"Stigmella salicis voucher MM24424 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610928.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GJEE4XV016"",""MZ610928.1"")"
"Stigmella salicis voucher MM24353 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610879.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GJEE4XV016"",""MZ610879.1"")"
"Stigmella salicis voucher MM24374 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610703.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GJEE4XV016"",""MZ610703.1"")"
"Stigmella salicis voucher MM24405 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610673.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GJEE4XV016"",""MZ610673.1"")"
"Stigmella salicis voucher MM24368 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610274.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GJEE4XV016"",""MZ610274.1"")"
"Stigmella salicis voucher MM24386 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ609483.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GJEE4XV016"",""MZ609483.1"")"
"Stigmella salicis voucher MM24354 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ609008.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GJEE4XV016"",""MZ609008.1"")"
"Stigmella salicis voucher MM24408 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608877.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GJEE4XV016"",""MZ608877.1"")"
"Stigmella salicis voucher MM24365 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608747.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GJEE4XV016"",""MZ608747.1"")"
"Stigmella myrtillella voucher MM24726 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myrtillella,573,573,100%,1e-158,91.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608687.1?report=genbank&log$=nucltop&blast_rank=24&RID=8GJEE4XV016"",""MZ608687.1"")"
"Stigmella salicis voucher MM24376 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608473.1?report=genbank&log$=nucltop&blast_rank=25&RID=8GJEE4XV016"",""MZ608473.1"")"
"Stigmella myrtillella voucher MM24356 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella myrtillella,573,573,100%,1e-158,91.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608156.1?report=genbank&log$=nucltop&blast_rank=26&RID=8GJEE4XV016"",""MZ608156.1"")"
"Stigmella salicis voucher MM24429 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella salicis,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608144.1?report=genbank&log$=nucltop&blast_rank=27&RID=8GJEE4XV016"",""MZ608144.1"")"
