Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ypsolopha mucronella voucher BC ZSM Lep 61412 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044948.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP03A6U016"",""KX044948.1"")"
"Ypsolopha mucronella voucher BC ZSM Lep 28329 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040315.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP03A6U016"",""KX040315.1"")"
"Ypsolopha mucronella voucher TLMF Lep 02661 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF860193.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP03A6U016"",""JF860193.1"")"
"Ypsolopha falcella voucher TLMF Lep 08241 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha falcella,523,523,100%,1e-143,89.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573686.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP03A6U016"",""KM573686.1"")"
"Ypsolopha falcella voucher BC ZSM Lep 25347 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha falcella,512,512,100%,2e-140,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM391765.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP03A6U016"",""HM391765.1"")"
"Ypsolopha yasudai voucher JCS-08-1051 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha yasudai,512,512,100%,2e-140,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU696064.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP03A6U016"",""GU696064.1"")"
"Ypsolopha yasudai voucher JCS-08-1050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha yasudai,512,512,100%,2e-140,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU696063.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP03A6U016"",""GU696063.1"")"
"Ypsolopha yasudai voucher JCS-08-1049 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha yasudai,512,512,100%,2e-140,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU696062.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP03A6U016"",""GU696062.1"")"
"Ypsolopha dentella voucher 2006-ONT-1227 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,507,507,100%,1e-138,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT130272.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP03A6U016"",""KT130272.1"")"
"Ypsolopha yasudai voucher JCS-06-0147 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha yasudai,507,507,100%,1e-138,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF523861.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP03A6U016"",""KF523861.1"")"
"Ypsolopha instabilella voucher TLMF Lep 03896 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha instabilella,507,507,100%,1e-138,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN287256.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GP03A6U016"",""JN287256.1"")"
"Acosmeryx naga hissarica voucher NIBGE MOT-02089 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acosmeryx naga hissarica,501,501,100%,5e-137,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC182152.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GP03A6U016"",""KC182152.1"")"
"Ypsolopha dentella voucher MM00314 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,501,501,100%,5e-137,88.28,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU828631.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GP03A6U016"",""GU828631.1"")"
"Ypsolopha falcella voucher BC ZSM Lep 23050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha falcella,501,501,100%,5e-137,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM391704.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GP03A6U016"",""HM391704.1"")"
"Ypsolopha dentella voucher BIOUG<CAN>:2005-ONT-1323 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,501,501,100%,5e-137,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU091491.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GP03A6U016"",""GU091491.1"")"
"Ypsolopha dentella voucher BIOUG<CAN>:2005-ONT-1534 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,501,501,100%,5e-137,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU091488.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GP03A6U016"",""GU091488.1"")"
"Ypsolopha dentella voucher BIOUG<CAN>:04HBL006872 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,501,501,100%,5e-137,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU093680.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GP03A6U016"",""GU093680.1"")"
"Ypsolopha dentella voucher BIOUG<CAN>:2005-ONT-1646 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,501,501,100%,5e-137,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU090862.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GP03A6U016"",""GU090862.1"")"
"Ypsolopha dentella voucher BIOUG<CAN>:04HBL006904 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,501,501,100%,5e-137,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU093681.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GP03A6U016"",""GU093681.1"")"
"Ypsolopha nemorella voucher TLMF Lep 13717 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha nemorella,499,499,99%,2e-136,88.25,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG522480.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GP03A6U016"",""MG522480.1"")"
"Ypsolopha dentella voucher UKLB39D09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,499,499,99%,2e-136,88.25,623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX042839.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GP03A6U016"",""KX042839.1"")"
"Ypsolopha nigrimaculata voucher JCS-06-0102 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha nigrimaculata,499,499,99%,2e-136,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF523859.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GP03A6U016"",""KF523859.1"")"
"Ypsolopha dentella voucher TLMF Lep 11998 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,496,496,100%,2e-135,88.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG522656.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GP03A6U016"",""MG522656.1"")"
