Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Acrobasis marmorea voucher BC ZSM Lep 52986 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis marmorea,723,723,100%,0.0,97.85,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046516.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP03A6U016"",""KX046516.1"")"
"Acrobasis marmorea voucher BC ZSM Lep 25350 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis marmorea,723,723,100%,0.0,97.85,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706613.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP03A6U016"",""GU706613.1"")"
"Acrobasis marmorea voucher BC ZSM Lep 23743 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis marmorea,723,723,100%,0.0,97.85,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706373.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP03A6U016"",""GU706373.1"")"
"Acrobasis marmorea voucher NHMO-08216 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis marmorea,708,708,100%,0.0,97.14,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048295.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP03A6U016"",""KX048295.1"")"
"Acrobasis marmorea voucher BC ZSM Lep 22885 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis marmorea,686,686,95%,0.0,97.74,638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU686730.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP03A6U016"",""GU686730.1"")"
"Acrobasis demotella voucher BIOUG<CAN>:DNA-ATBI-2268 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis demotella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088535.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP03A6U016"",""GU088535.1"")"
"Acrobasis demotella voucher DNA-ATBI-3132 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis demotella,617,617,100%,4e-172,93.30,581,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088188.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP03A6U016"",""GU088188.1"")"
"Acrobasis demotella voucher BIOUG<CAN>:DNA-ATBI-2267 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis demotella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU088533.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP03A6U016"",""GU088533.1"")"
"Acrobasis carpinivorella voucher HLC-16108 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis carpinivorella,612,612,100%,2e-170,93.06,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT136870.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP03A6U016"",""KT136870.1"")"
"Acrobasis carpinivorella voucher 2006-ONT-0781 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acrobasis carpinivorella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT124930.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP03A6U016"",""KT124930.1"")"
