Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella pretiosa voucher MM09642 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella pretiosa,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874397.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""HM874397.1"")"
"Stigmella pretiosa voucher TLMF Lep 02872 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella pretiosa,749,749,97%,0.0,99.75,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF860337.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNGZJNE013"",""JF860337.1"")"
"Stigmella tormentillella voucher RMNH.INS.11701 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tormentillella,595,595,100%,2e-165,92.34,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988383.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNGZJNE013"",""JN988383.1"")"
"Stigmella tormentillella voucher RMNH.INS.17945 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tormentillella,590,590,100%,1e-163,92.11,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988384.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNGZJNE013"",""JN988384.1"")"
"Stigmella sp. CastanopsisTaiwan voucher RMNH.INS.29279 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. CastanopsisTaiwan,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281405.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNGZJNE013"",""KX281405.1"")"
"Stigmella lediella voucher MM09352 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lediella,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874243.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNGZJNE013"",""HM874243.1"")"
"Stigmella floslactella voucher RMNH.INS.12980 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,571,571,99%,3e-158,91.37,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281447.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNGZJNE013"",""KX281447.1"")"
"Stigmella splendidissimella voucher RMNH.INS.11366 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,571,571,99%,3e-158,91.37,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988382.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNGZJNE013"",""JN988382.1"")"
"Stigmella splendidissimella voucher RMNH.INS.11365 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,571,571,99%,3e-158,91.37,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988381.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNGZJNE013"",""JN988381.1"")"
"Stigmella splendidissimella voucher MM09629 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874387.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNGZJNE013"",""HM874387.1"")"
"Stigmella floslactella voucher MM07007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873628.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GNGZJNE013"",""HM873628.1"")"
"Stigmella splendidissimella voucher MM06616 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,571,571,99%,3e-158,91.37,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873368.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GNGZJNE013"",""HM873368.1"")"
"Stigmella floslactella voucher KLM Lep 00316 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,566,566,99%,2e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047457.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GNGZJNE013"",""KX047457.1"")"
"Stigmella floslactella voucher KLM Lep 00312 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,566,566,99%,2e-156,91.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047320.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GNGZJNE013"",""KX047320.1"")"
"Stigmella suberivora voucher RMNH.INS.24311 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella suberivora,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281393.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GNGZJNE013"",""KX281393.1"")"
"Stigmella sp. mahonia_usa voucher BIOUG03197-A08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. mahonia_usa,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM554039.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GNGZJNE013"",""KM554039.1"")"
"Stigmella auromarginella voucher MM19328 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella auromarginella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283999.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GNGZJNE013"",""JN283999.1"")"
"Stigmella lemniscella voucher MM09646 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lemniscella,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874401.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GNGZJNE013"",""HM874401.1"")"
"Stigmella dryadella voucher TLMF Lep 02871 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella dryadella,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573110.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GNGZJNE013"",""KM573110.1"")"
"Stigmella splendidissimella voucher MM09337 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,560,560,99%,8e-155,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874235.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GNGZJNE013"",""HM874235.1"")"
"Pentateucha stueningi voucher BC-Hax0717 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pentateucha stueningi,558,558,99%,3e-154,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN678350.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GNGZJNE013"",""JN678350.1"")"
"Stigmella quercipulchella voucher jflandry0490 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,558,558,99%,3e-154,90.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096108.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GNGZJNE013"",""GU096108.1"")"
"Stigmella anomalella voucher RMNH.INS.29607 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281462.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GNGZJNE013"",""KX281462.1"")"
"Stigmella tityrella voucher RMNH.INS.24316 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tityrella,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281451.1?report=genbank&log$=nucltop&blast_rank=24&RID=8GNGZJNE013"",""KX281451.1"")"
"Stigmella atricapitella voucher RMNH.INS.12953 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella atricapitella,556,556,100%,1e-153,90.67,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281450.1?report=genbank&log$=nucltop&blast_rank=25&RID=8GNGZJNE013"",""KX281450.1"")"
"Stigmella lemniscella voucher RMNH.INS.12968 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lemniscella,556,556,100%,1e-153,90.67,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281284.1?report=genbank&log$=nucltop&blast_rank=26&RID=8GNGZJNE013"",""KX281284.1"")"
"Stigmella sp. MahoniaUSA voucher RMNH.INS.18157 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. MahoniaUSA,556,556,99%,1e-153,90.84,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281245.1?report=genbank&log$=nucltop&blast_rank=27&RID=8GNGZJNE013"",""KX281245.1"")"
"Stigmella paradoxa voucher TLMF Lep 14683 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella paradoxa,556,556,100%,1e-153,90.67,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253217.1?report=genbank&log$=nucltop&blast_rank=28&RID=8GNGZJNE013"",""KP253217.1"")"
"Stigmella sp. mahonia_usa voucher BIOUG05354-G08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp. mahonia_usa,556,556,100%,1e-153,90.67,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546342.1?report=genbank&log$=nucltop&blast_rank=29&RID=8GNGZJNE013"",""KM546342.1"")"
"Stigmella dorsiguttella voucher RMNH.INS.23487 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella dorsiguttella,555,555,99%,4e-153,90.65,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281382.1?report=genbank&log$=nucltop&blast_rank=30&RID=8GNGZJNE013"",""KX281382.1"")"
"Stigmella floslactella voucher TLMF Lep 08300 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella floslactella,555,555,96%,4e-153,91.36,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573563.1?report=genbank&log$=nucltop&blast_rank=31&RID=8GNGZJNE013"",""KM573563.1"")"
"Stigmella quercipulchella voucher jflandry0491 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,553,553,99%,1e-152,90.62,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU096109.1?report=genbank&log$=nucltop&blast_rank=32&RID=8GNGZJNE013"",""GU096109.1"")"
"Stigmella rhamnicola voucher BIOUG01503-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rhamnicola,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT126481.1?report=genbank&log$=nucltop&blast_rank=33&RID=8GNGZJNE013"",""KT126481.1"")"
"Nepticulidae sp. BOLD:ABY1038 voucher BIOUG03581-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:ABY1038,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM545983.1?report=genbank&log$=nucltop&blast_rank=34&RID=8GNGZJNE013"",""KM545983.1"")"
"Stigmella aeneofasciella voucher RMNH.INS.11321 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aeneofasciella,551,551,100%,5e-152,90.43,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN988327.1?report=genbank&log$=nucltop&blast_rank=35&RID=8GNGZJNE013"",""JN988327.1"")"
"Stigmella aeneofasciella voucher MM09632 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aeneofasciella,551,551,100%,5e-152,90.43,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874389.1?report=genbank&log$=nucltop&blast_rank=36&RID=8GNGZJNE013"",""HM874389.1"")"
"Stigmella aurella voucher RMNH.INS.538510 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aurella,549,549,100%,2e-151,89.95,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049162.1?report=genbank&log$=nucltop&blast_rank=37&RID=8GNGZJNE013"",""KX049162.1"")"
"Nepticulidae sp. BOLD:ACC5766 voucher BIOUG03169-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:ACC5766,547,547,99%,6e-151,90.38,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550607.1?report=genbank&log$=nucltop&blast_rank=38&RID=8GNGZJNE013"",""KM550607.1"")"
"Stigmella zelkoviella voucher RMNH.INS.29552 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella zelkoviella,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281271.1?report=genbank&log$=nucltop&blast_rank=39&RID=8GNGZJNE013"",""KX281271.1"")"
"Stigmella szoecsiella voucher RMNH.INS.24005 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella szoecsiella,545,545,100%,2e-150,90.19,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281253.1?report=genbank&log$=nucltop&blast_rank=40&RID=8GNGZJNE013"",""KX281253.1"")"
"Stigmella rhamnicola voucher BIOUG01521-C07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rhamnicola,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT135205.1?report=genbank&log$=nucltop&blast_rank=41&RID=8GNGZJNE013"",""KT135205.1"")"
"Stigmella suberivora voucher KLM Lep 00280 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella suberivora,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047368.1?report=genbank&log$=nucltop&blast_rank=42&RID=8GNGZJNE013"",""KX047368.1"")"
"Nepticulidae sp. BOLD:ABY1038 voucher BIOUG03431-F01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nepticulidae sp. BOLD:ABY1038,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM543821.1?report=genbank&log$=nucltop&blast_rank=43&RID=8GNGZJNE013"",""KM543821.1"")"
"Stigmella tityrella voucher MM19326 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella tityrella,545,545,100%,2e-150,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283997.1?report=genbank&log$=nucltop&blast_rank=44&RID=8GNGZJNE013"",""JN283997.1"")"
"Stigmella hybnerella voucher RMNH.INS.12814 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella hybnerella,544,544,99%,8e-150,90.17,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281351.1?report=genbank&log$=nucltop&blast_rank=45&RID=8GNGZJNE013"",""KX281351.1"")"
"Stigmella hybnerella voucher MM09600 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella hybnerella,544,544,99%,8e-150,90.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874367.1?report=genbank&log$=nucltop&blast_rank=46&RID=8GNGZJNE013"",""HM874367.1"")"
"Stigmella lediella voucher RMNH.INS.29414 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella lediella,542,542,99%,3e-149,90.14,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281406.1?report=genbank&log$=nucltop&blast_rank=47&RID=8GNGZJNE013"",""KX281406.1"")"
"Stigmella argentifasciella voucher BIOUG23406-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella argentifasciella,540,540,100%,1e-148,89.95,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359457.1?report=genbank&log$=nucltop&blast_rank=48&RID=8GNGZJNE013"",""MG359457.1"")"
"Stigmella basiguttella voucher RMNH.INS.23994 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella basiguttella,540,540,100%,1e-148,89.95,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281441.1?report=genbank&log$=nucltop&blast_rank=49&RID=8GNGZJNE013"",""KX281441.1"")"
"Stigmella inopinata voucher RMNH.INS.24427 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella inopinata,540,540,100%,1e-148,89.95,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281437.1?report=genbank&log$=nucltop&blast_rank=50&RID=8GNGZJNE013"",""KX281437.1"")"
"Stigmella zangherii voucher RMNH.INS.18831 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella zangherii,540,540,100%,1e-148,89.95,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281350.1?report=genbank&log$=nucltop&blast_rank=51&RID=8GNGZJNE013"",""KX281350.1"")"
"Stigmella continuella voucher RMNH.INS.12779 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella continuella,540,540,100%,1e-148,89.95,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281265.1?report=genbank&log$=nucltop&blast_rank=52&RID=8GNGZJNE013"",""KX281265.1"")"
"Stigmella splendidissimella voucher I87-4 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Stigmella splendidissimella,540,540,94%,1e-148,91.37,607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM073253.1?report=genbank&log$=nucltop&blast_rank=53&RID=8GNGZJNE013"",""KM073253.1"")"
"Stigmella continuella voucher MM18056 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella continuella,540,540,100%,1e-148,89.95,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854091.1?report=genbank&log$=nucltop&blast_rank=54&RID=8GNGZJNE013"",""JF854091.1"")"
"Stigmella anomalella voucher MM09602 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella anomalella,540,540,100%,1e-148,89.95,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874369.1?report=genbank&log$=nucltop&blast_rank=55&RID=8GNGZJNE013"",""HM874369.1"")"
"Stigmella hybnerella voucher MM09668 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella hybnerella,538,538,99%,4e-148,89.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874412.1?report=genbank&log$=nucltop&blast_rank=56&RID=8GNGZJNE013"",""HM874412.1"")"
"Stigmella quercipulchella voucher RMNH.INS.18192 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella quercipulchella,536,536,99%,1e-147,89.90,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281286.1?report=genbank&log$=nucltop&blast_rank=57&RID=8GNGZJNE013"",""KX281286.1"")"
