Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ypsolopha parenthesella voucher TLMF Lep 03659 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha parenthesella,701,701,100%,0.0,96.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN287252.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GPBDEPP013"",""JN287252.1"")"
"Ypsolopha parenthesella voucher BC ZSM Lep 23055 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha parenthesella,695,695,100%,0.0,96.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706333.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GPBDEPP013"",""GU706333.1"")"
"Ypsolopha distinctata voucher LGE-G502 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Ypsolopha distinctata,689,689,100%,0.0,96.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL415154.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GPBDEPP013"",""OL415154.1"")"
"Ypsolopha parenthesella voucher BC ZSM Lep 23054 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha parenthesella,689,689,100%,0.0,96.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706332.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GPBDEPP013"",""GU706332.1"")"
"Ypsolopha parenthesella voucher KB08050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha parenthesella,684,684,100%,0.0,96.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM387246.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GPBDEPP013"",""HM387246.1"")"
"Ypsolopha parenthesella voucher MM08153 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha parenthesella,678,678,100%,0.0,95.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873796.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GPBDEPP013"",""HM873796.1"")"
"Ypsolopha sylvella voucher MM24093 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha sylvella,662,662,100%,0.0,95.23,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610013.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GPBDEPP013"",""MZ610013.1"")"
"Ypsolopha parenthesella voucher MM02344 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha parenthesella,662,662,100%,0.0,95.22,630,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871493.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GPBDEPP013"",""HM871493.1"")"
"Ypsolopha parenthesella voucher MM00769 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha parenthesella,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871183.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GPBDEPP013"",""HM871183.1"")"
"Ypsolopha sylvella voucher MM17214 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha sylvella,651,651,100%,0.0,94.74,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782589.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GPBDEPP013"",""KT782589.1"")"
