Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Xestia sexstrigata genome assembly, chromosome: 27",Xestia sexstrigata,761,761,100%,0.0,99.52,11929675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OW799227.2?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""OW799227.2"")"
"Xestia sexstrigata genome assembly, chromosome: W",Xestia sexstrigata,651,651,100%,0.0,94.74,3068741,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OW799231.2?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""OW799231.2"")"
"Xestia sexstrigata genome assembly, chromosome: 21",Xestia sexstrigata,645,1925,100%,2e-180,94.50,19907262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OW799221.2?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""OW799221.2"")"
"Xestia sexstrigata voucher MM04887 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia sexstrigata,645,645,100%,2e-180,94.50,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872583.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""HM872583.1"")"
"Xestia sexstrigata voucher NHMO-08237 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia sexstrigata,640,640,100%,9e-179,94.26,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048892.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""KX048892.1"")"
"Xestia sexstrigata genome assembly, organelle: mitochondrion",Xestia sexstrigata,640,640,100%,9e-179,94.26,15363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OW799232.2?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""OW799232.2"")"
"Xestia sexstrigata genome assembly, chromosome: 1",Xestia sexstrigata,640,640,100%,9e-179,94.26,25975654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OW799201.2?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""OW799201.2"")"
"Xestia sexstrigata voucher UKLB4C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia sexstrigata,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043584.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""KX043584.1"")"
"Xestia sexstrigata voucher BC ZSM Lep 21713 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia sexstrigata,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF415665.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""JF415665.1"")"
"Xestia sexstrigata genome assembly, chromosome: 9",Xestia sexstrigata,630,777,100%,6e-176,93.84,22582320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OW799209.2?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""OW799209.2"")"
"Xestia sexstrigata voucher MM01661 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia sexstrigata,623,623,96%,1e-173,94.54,643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX041781.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""KX041781.1"")"
"Xestia sexstrigata voucher MM01660 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia sexstrigata,619,619,95%,1e-172,94.51,641,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX041953.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""KX041953.1"")"
"Xestia sexstrigata voucher UKLB37E12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia sexstrigata,612,612,95%,2e-170,94.25,625,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043092.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""KX043092.1"")"
"Xestia sexstrigata voucher BC ZSM Lep 21712 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia sexstrigata,604,604,92%,3e-168,94.83,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF415664.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""JF415664.1"")"
"Xestia cnigrum voucher BIOUG<CAN>:10BBCLP-1823 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF842812.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""JF842812.1"")"
"Xestia c-nigrum voucher HLC-17647 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF921062.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""MF921062.1"")"
"Xestia c-nigrum voucher UAM:Ento:131412 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KU876476.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""KU876476.1"")"
"Xestia c-nigrum voucher UAM:Ento:131410 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KU876475.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""KU876475.1"")"
"Xestia cnigrum voucher 08BBLEP-05321 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ390855.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""KJ390855.1"")"
"Xestia cnigrum voucher PPBP-2108 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ388406.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""KJ388406.1"")"
"Xestia cnigrum voucher CGWC-0795 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ387446.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""KJ387446.1"")"
"Xestia cnigrum voucher CGWC-0803 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ384729.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""KJ384729.1"")"
"Xestia cnigrum voucher CGWC-3603 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ384632.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""KJ384632.1"")"
"Xestia cnigrum voucher DH010742 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ383597.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""KJ383597.1"")"
"Xestia cnigrum voucher BIOUG<CAN>:moth543.01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,639,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU094782.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""GU094782.1"")"
"Xestia cnigrum voucher BIOUG<CAN>:09BBELE-1030 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM436272.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""HM436272.1"")"
"Xestia cnigrum voucher BIOUG<CAN>:09BBELE-0466 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM414761.1?report=genbank&log$=nucltop&blast_rank=27&RID=8E8XF8GY016"",""HM414761.1"")"
"Xestia cnigrum voucher BIOUG<CAN>:05-NBSTA-341 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Xestia c-nigrum,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU095426.1?report=genbank&log$=nucltop&blast_rank=28&RID=8E8XF8GY016"",""GU095426.1"")"
