Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Notocelia roborana voucher MM01968 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia roborana,673,673,100%,0.0,95.69,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871346.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""HM871346.1"")"
"Notocelia roborana voucher RMNH.INS.544418 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia roborana,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049111.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""KX049111.1"")"
"Notocelia roborana voucher MM02999 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia roborana,667,667,100%,0.0,95.45,641,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871776.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""HM871776.1"")"
"Notocelia roborana voucher BC ZSM Lep 23293 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia roborana,667,667,100%,0.0,95.45,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM391748.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""HM391748.1"")"
"Notocelia roborana voucher BC ZSM Lep 50781 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia roborana,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040808.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""KX040808.1"")"
"Notocelia roborana voucher TLMF Lep 02233 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia roborana,662,662,100%,0.0,95.22,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859813.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""JF859813.1"")"
"Epiblema desertana voucher 2005-ONT-274 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epiblema desertana,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT139050.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""KT139050.1"")"
"Epiblema obfuscana voucher PPBP-1523 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epiblema obfuscana,579,579,100%,2e-160,91.63,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546577.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""KM546577.1"")"
"Eucosma agricolana voucher TOR-DNA-0205 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma agricolana,573,573,100%,1e-158,91.39,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430495.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""KC430495.1"")"
"Epiblema desertana voucher BIOUG<CAN>:10BBLEP-00357 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Epiblema desertana,573,573,100%,1e-158,91.39,622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ985704.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""HQ985704.1"")"
"Eucosma umbrastriana voucher Moth4098.03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma umbrastriana,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT131064.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""KT131064.1"")"
"Notocelia cynosbatella voucher RMNH.INS.538771 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX050015.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""KX050015.1"")"
"Notocelia cynosbatella voucher NHMO-08051 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049557.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""KX049557.1"")"
"Notocelia cynosbatella voucher RMNH.INS.540682 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048113.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""KX048113.1"")"
"Eucosma smithiana voucher 08BBLEP-01753 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma smithiana,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM552233.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""KM552233.1"")"
"Phaneta umbrastriana voucher PPBP-0204 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta umbrastriana,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546620.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""KM546620.1"")"
"Eucosma sp. BOLD:ABX5598 voucher 08BBLEP-02810 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma sp. BOLD:ABX5598,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546585.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""KM546585.1"")"
"Phaneta sp. BOLD:AAI4584 voucher 10BBCLP-2346 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Phaneta sp. BOLD:AAI4584,568,568,100%,5e-157,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540530.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""KM540530.1"")"
"Notocelia cynosbatella voucher TLMF Lep 07962 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573594.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""KM573594.1"")"
"Notocelia cynosbatella voucher MM22899 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572843.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""KM572843.1"")"
"Eucosma agricolana voucher TOR-DNA-221 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eucosma agricolana,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430496.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""KC430496.1"")"
"Notocelia culminana voucher TOR-DNA-0512 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia culminana,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC430473.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""KC430473.1"")"
"Pelochrista agricolana voucher BIOUG<CAN>:CMAZ-0638 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pelochrista agricolana,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847040.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""JF847040.1"")"
"Notocelia cynosbatella voucher MM03018 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Notocelia cynosbatella,568,568,100%,5e-157,91.15,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871787.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""HM871787.1"")"
