Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ypsolopha mucronella voucher BC ZSM Lep 61412 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX044948.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GPBDEPP013"",""KX044948.1"")"
"Ypsolopha mucronella voucher BC ZSM Lep 28329 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040315.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GPBDEPP013"",""KX040315.1"")"
"Ypsolopha mucronella voucher TLMF Lep 02661 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha mucronella,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF860193.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GPBDEPP013"",""JF860193.1"")"
"Battus polydamas voucher WI-JAG-253 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Battus polydamas,514,514,100%,6e-141,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN275701.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GPBDEPP013"",""JN275701.1"")"
"Acosmeryx naga hissarica voucher NIBGE MOT-02089 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acosmeryx naga hissarica,512,512,100%,2e-140,88.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC182152.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GPBDEPP013"",""KC182152.1"")"
"Ypsolopha falcella voucher TLMF Lep 08241 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha falcella,507,507,100%,1e-138,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM573686.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GPBDEPP013"",""KM573686.1"")"
"Acosmeryx naga hissarica voucher NIBGE MOT-02090 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acosmeryx naga hissarica,507,507,100%,1e-138,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC182156.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GPBDEPP013"",""KC182156.1"")"
"Acosmeryx naga hissarica voucher NIBGE MOT-02093 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acosmeryx naga hissarica,507,507,100%,1e-138,88.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC182155.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GPBDEPP013"",""KC182155.1"")"
"Ypsolopha nemorella voucher TLMF Lep 13717 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha nemorella,505,505,99%,4e-138,88.49,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG522480.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GPBDEPP013"",""MG522480.1"")"
"Ypsolopha nemorella voucher TLMF Lep 08405 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha nemorella,505,505,99%,4e-138,88.49,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572237.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GPBDEPP013"",""KM572237.1"")"
"Promalactis sp. NKU WQY0091 voucher NKU-WQY0091 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Promalactis sp. NKU WQY0091,501,501,100%,5e-137,88.28,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN852929.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GPBDEPP013"",""MN852929.1"")"
"Acosmeryx naga voucher NSMK:IN2018001513 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Acosmeryx naga,501,501,100%,5e-137,88.28,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN608919.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GPBDEPP013"",""MN608919.1"")"
"Pseudanapaea transvestita cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pseudanapaea transvestita,501,501,100%,5e-137,88.28,1510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK128291.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GPBDEPP013"",""MK128291.1"")"
"Ypsolopha dentella voucher 2006-ONT-1227 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Ypsolopha dentella,501,501,100%,5e-137,88.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT130272.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GPBDEPP013"",""KT130272.1"")"
"Pseudotelphusa sp. BOLD-2016 voucher BIOUG02834-A06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Pseudotelphusa sp. BOLD-2016,501,501,100%,5e-137,88.31,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129135.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GPBDEPP013"",""KT129135.1"")"
"Acosmeryx naga isolate LBGM110730.297 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Acosmeryx naga,501,501,100%,5e-137,88.28,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR183364.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GPBDEPP013"",""KR183364.1"")"
"Acosmeryx naga voucher Acosmeryx_1 cytochrome c oxidase subunit 1 (CO1) gene, partial cds; mitochondrial",Acosmeryx naga,501,501,100%,5e-137,88.28,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP720025.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GPBDEPP013"",""KP720025.1"")"
