Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Lathronympha strigana voucher BC ZSM Lep 23589 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,745,745,100%,0.0,98.80,576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM422100.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP51B9F016"",""HM422100.1"")"
"Lathronympha strigana voucher BC ZSM Lep 50838 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040000.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP51B9F016"",""KX040000.1"")"
"Lathronympha strigana voucher NHMO-07024 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,601,601,100%,4e-167,92.58,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048565.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP51B9F016"",""KX048565.1"")"
"Lathronympha strigana voucher BC ZSM Lep 23588 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706731.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP51B9F016"",""GU706731.1"")"
"Lathronympha strigana voucher TLMF Lep 00879 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ968253.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP51B9F016"",""HQ968253.1"")"
"Lathronympha strigana voucher BC ZSM Lep 64408 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046078.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP51B9F016"",""KX046078.1"")"
"Lathronympha strigana voucher BC ZSM Lep 50837 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040228.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP51B9F016"",""KX040228.1"")"
"Lathronympha strigana voucher MM26717 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ706454.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP51B9F016"",""OQ706454.1"")"
"Lathronympha strigana genome assembly, organelle: mitochondrion",Lathronympha strigana,584,584,100%,4e-162,91.87,16678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX421929.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP51B9F016"",""OX421929.1"")"
"Lathronympha strigana voucher TLMF Lep 00817 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ968193.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP51B9F016"",""HQ968193.1"")"
"Lathronympha strigana voucher BC ZSM Lep 37547 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ955596.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GP51B9F016"",""HQ955596.1"")"
"Lathronympha strigana voucher BC ZSM Lep 38102 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ563702.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GP51B9F016"",""HQ563702.1"")"
"Lathronympha strigana voucher TLMF Lep 12537 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572836.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GP51B9F016"",""KM572836.1"")"
"Lathronympha strigana voucher TLMF Lep 00531 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM381375.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GP51B9F016"",""HM381375.1"")"
"Lathronympha strigana voucher BC ZSM Lep 27078 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lathronympha strigana,584,584,100%,4e-162,91.87,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU707106.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GP51B9F016"",""GU707106.1"")"
