Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Gypsonoma adjuncta voucher BIOUG<CAN>:09BBELE-0673 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Gypsonoma adjuncta,588,588,99%,3e-163,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM435935.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP51B9F016"",""HM435935.1"")"
"Gypsonoma adjuncta voucher BIOUG<CAN>:08BBLEP-05870 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Gypsonoma adjuncta,588,588,99%,3e-163,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM388035.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP51B9F016"",""HM388035.1"")"
"Gypsonoma dealbana voucher NHMO-07028 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Gypsonoma dealbana,562,562,100%,2e-155,91.17,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048359.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP51B9F016"",""KX048359.1"")"
"Gypsonoma dealbana voucher UKLB40F05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Gypsonoma dealbana,562,562,100%,2e-155,91.17,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043956.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP51B9F016"",""KX043956.1"")"
"Gypsonoma dealbana voucher BC ZSM Lep 38018 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Gypsonoma dealbana,562,562,100%,2e-155,91.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ955659.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP51B9F016"",""HQ955659.1"")"
"Rhopobota sp. 1 ZW-2018 cytochrome oxidase subunit 1 gene, partial cds; mitochondrial",Rhopobota sp. 1 ZW-2018,556,556,100%,1e-153,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY964234.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP51B9F016"",""KY964234.1"")"
"Cryptophlebia ombrodelta isolate KS7B cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cryptophlebia ombrodelta,556,556,100%,1e-153,90.91,677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX150514.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP51B9F016"",""KX150514.1"")"
"Gypsonoma adjuncta voucher BIOUG03487-B07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Gypsonoma adjuncta,556,556,92%,1e-153,92.78,629,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM547912.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP51B9F016"",""KM547912.1"")"
"Cryptophlebia ombrodelta voucher L00051868 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Cryptophlebia ombrodelta,556,556,100%,1e-153,90.91,591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON965798.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP51B9F016"",""ON965798.1"")"
"Gypsonoma dealbana isolate 328 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Gypsonoma dealbana,556,556,100%,1e-153,90.93,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441680.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP51B9F016"",""MW441680.1"")"
"Gypsonoma dealbana isolate 1136 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Gypsonoma dealbana,556,556,100%,1e-153,90.93,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW441679.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GP51B9F016"",""MW441679.1"")"
"Acleris logiana voucher MM00593 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acleris logiana,556,556,100%,1e-153,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871082.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GP51B9F016"",""HM871082.1"")"
"Acleris logiana voucher MM08309 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acleris logiana,556,556,100%,1e-153,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873863.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GP51B9F016"",""HM873863.1"")"
"Acleris roscidana voucher MM12131 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Acleris roscidana,556,556,100%,1e-153,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875196.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GP51B9F016"",""HM875196.1"")"
"Gypsonoma dealbana voucher BC ZSM Lep 23284 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Gypsonoma dealbana,556,556,100%,1e-153,90.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706394.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GP51B9F016"",""GU706394.1"")"
"Gypsonoma dealbana voucher TLMF Lep 08251 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Gypsonoma dealbana,556,556,100%,1e-153,90.93,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM572595.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GP51B9F016"",""KM572595.1"")"
