Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Lypusa maurella voucher MM06394 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lypusa maurella,706,706,99%,0.0,97.36,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873226.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GP03A6U016"",""HM873226.1"")"
"Lypusa maurella voucher MM14046 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lypusa maurella,706,706,99%,0.0,97.36,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875859.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GP03A6U016"",""HM875859.1"")"
"Lypusa maurella voucher BC ZSM Lep 25278 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lypusa maurella,701,701,99%,0.0,97.12,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU706730.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GP03A6U016"",""GU706730.1"")"
"Lypusa maurella voucher CLV1993 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lypusa maurella,695,695,99%,0.0,96.88,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF848520.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GP03A6U016"",""JF848520.1"")"
"Lypusa maurella voucher DRD-07-4102 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lypusa maurella,689,689,99%,0.0,96.64,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF491842.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GP03A6U016"",""KF491842.1"")"
"Lypusa maurella voucher BC ZSM Lep 29208 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lypusa maurella,689,689,99%,0.0,96.64,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ563530.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GP03A6U016"",""HQ563530.1"")"
"Lypusa maurella voucher MM00010 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Lypusa maurella,689,689,99%,0.0,96.40,610,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU828575.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GP03A6U016"",""GU828575.1"")"
"Lypusa tokari voucher MM19938 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lypusa tokari,684,684,99%,0.0,96.40,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX047631.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GP03A6U016"",""KX047631.1"")"
"Lypusa maurella voucher MM00011 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Lypusa maurella,678,678,99%,0.0,96.16,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU828576.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GP03A6U016"",""GU828576.1"")"
"Cyana sp. BOLD:AAG6348 voucher TDGAB-0189 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cyana sp. BOLD:AAG6348,556,556,99%,1e-153,90.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM390407.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GP03A6U016"",""HM390407.1"")"
"Illidgea sp. ANIC20 voucher 11ANIC-09219 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Illidgea sp. ANIC20,551,551,99%,5e-152,90.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF399939.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GP03A6U016"",""KF399939.1"")"
"Lichenaula sp. ANIC10 voucher CCDB-15748-A09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lichenaula sp. ANIC10,545,545,99%,2e-150,90.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF397306.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GP03A6U016"",""KF397306.1"")"
"Lichenaula sp. ANIC10 voucher CCDB-15748-A10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lichenaula sp. ANIC10,545,545,99%,2e-150,90.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF396756.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GP03A6U016"",""KF396756.1"")"
"Cryptophasa molaris voucher 11ANIC-11274 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cryptophasa molaris,542,542,100%,3e-149,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF406147.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GP03A6U016"",""KF406147.1"")"
"Eulechria sp. ANIC49 voucher CCDB-15826-B09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Eulechria sp. ANIC49,542,542,100%,3e-149,90.21,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF404581.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GP03A6U016"",""KF404581.1"")"
"Cryptophasa molaris voucher CCDB-15736-H08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cryptophasa molaris,542,542,100%,3e-149,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF396435.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GP03A6U016"",""KF396435.1"")"
"Datana contracta voucher 11-MISC-721 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Datana contracta,540,540,99%,1e-148,90.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF103345.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GP03A6U016"",""MF103345.1"")"
"Lichenaula sp. ANIC10 voucher 11ANIC-09270 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lichenaula sp. ANIC10,540,540,99%,1e-148,90.17,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF400411.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GP03A6U016"",""KF400411.1"")"
