Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bucculatrix notella voucher LGE-G508 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Bucculatrix notella,649,649,99%,0.0,94.72,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL415144.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""OL415144.1"")"
"Bucculatrix ratisbonensis voucher NHMO-08034 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ratisbonensis,638,638,99%,3e-178,94.24,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048630.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GJEE4XV016"",""KX048630.1"")"
"Bucculatrix sp. BOLD:ACC8888 voucher BIOUG03581-B07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:ACC8888,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540282.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GJEE4XV016"",""KM540282.1"")"
"Bucculatrix ratisbonensis voucher MM23964 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ratisbonensis,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608346.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GJEE4XV016"",""MZ608346.1"")"
"Bucculatrix ratisbonensis voucher MM03949 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ratisbonensis,632,632,99%,2e-176,94.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872248.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GJEE4XV016"",""HM872248.1"")"
"Bucculatrix artemisiella voucher MM03947 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Bucculatrix artemisiella,632,632,99%,2e-176,94.00,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU828698.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GJEE4XV016"",""GU828698.1"")"
"Bucculatrix cristatella voucher MM17952 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854010.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GJEE4XV016"",""JF854010.1"")"
"Bucculatrix cristatella voucher MM03954 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872252.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GJEE4XV016"",""HM872252.1"")"
"Bucculatrix artemisiella voucher MM03944 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix artemisiella,627,627,99%,7e-175,93.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872244.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GJEE4XV016"",""HM872244.1"")"
"Bucculatrix cristatella voucher MM14469 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM876109.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GJEE4XV016"",""HM876109.1"")"
"Bucculatrix sp. BOLD:AAG1164 voucher 08BBLEP-03007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAG1164,621,621,99%,3e-173,93.53,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM547886.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GJEE4XV016"",""KM547886.1"")"
"Bucculatrix sp. BIOUG23577-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG23577-F12,619,619,98%,1e-172,93.70,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG359405.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GJEE4XV016"",""MG359405.1"")"
"Bucculatrix cristatella voucher MM06518 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,619,619,100%,1e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873300.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GJEE4XV016"",""HM873300.1"")"
"Bucculatrix sp. BIOUG20714-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20714-D10,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG506629.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GJEE4XV016"",""MG506629.1"")"
"Bucculatrix sp. BIOUG20714-B09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20714-B09,616,616,99%,2e-171,93.29,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG498920.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GJEE4XV016"",""MG498920.1"")"
"Bucculatrix cristatella voucher MM10335 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874663.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GJEE4XV016"",""HM874663.1"")"
"Bucculatrix cristatella voucher MM06517 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM873299.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GJEE4XV016"",""HM873299.1"")"
"Bucculatrix sp. BIOUG20477-E03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20477-E03,610,610,99%,7e-170,93.05,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG500582.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GJEE4XV016"",""MG500582.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07047-H08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,604,604,99%,3e-168,92.81,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT131637.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GJEE4XV016"",""KT131637.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07213-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,604,604,99%,3e-168,92.81,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129273.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GJEE4XV016"",""KT129273.1"")"
"Bucculatrix cristatella voucher MM23773 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix cristatella,604,604,99%,3e-168,92.81,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608211.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GJEE4XV016"",""MZ608211.1"")"
"Bucculatrix ratisbonensis voucher MM03948 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ratisbonensis,601,601,94%,4e-167,93.95,637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872247.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GJEE4XV016"",""HM872247.1"")"
"Bucculatrix noltei voucher MM25304 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix noltei,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608791.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GJEE4XV016"",""MZ608791.1"")"
"Bucculatrix noltei voucher MM25290 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix noltei,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ607754.1?report=genbank&log$=nucltop&blast_rank=24&RID=8GJEE4XV016"",""MZ607754.1"")"
"Bucculatrix sp. BOLD:AAH5186 voucher BIOUG<CAN>:10BBLEP-00014 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAH5186,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ583180.1?report=genbank&log$=nucltop&blast_rank=25&RID=8GJEE4XV016"",""HQ583180.1"")"
"Bucculatrix sp. BOLD:AAH5186 voucher BIOUG<CAN>:09BBLEP-00892 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAH5186,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM428699.1?report=genbank&log$=nucltop&blast_rank=26&RID=8GJEE4XV016"",""HM428699.1"")"
"Bucculatrix sp. BOLD:ACC8888 voucher BIOUG03508-C02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:ACC8888,595,595,94%,2e-165,93.91,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM548020.1?report=genbank&log$=nucltop&blast_rank=27&RID=8GJEE4XV016"",""KM548020.1"")"
"Bucculatricidae sp. BIOUG21329-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG21329-B11,593,593,99%,7e-165,92.33,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG469484.1?report=genbank&log$=nucltop&blast_rank=28&RID=8GJEE4XV016"",""MG469484.1"")"
"Bucculatrix splendida voucher LGE-G634 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Bucculatrix splendida,593,593,99%,7e-165,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ605711.1?report=genbank&log$=nucltop&blast_rank=29&RID=8GJEE4XV016"",""OQ605711.1"")"
"Bucculatrix sp. BOLD:ACC8888 voucher BIOUG03581-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:ACC8888,593,593,94%,7e-165,93.89,633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550282.1?report=genbank&log$=nucltop&blast_rank=30&RID=8GJEE4XV016"",""KM550282.1"")"
"Lepidoptera sp. BOLD:AAH5739 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Lepidoptera sp. BOLD:AAH5739,593,593,99%,7e-165,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM408618.1?report=genbank&log$=nucltop&blast_rank=31&RID=8GJEE4XV016"",""HM408618.1"")"
"Bucculatrix sp. BOLD:ACC8888 voucher BIOUG03581-C04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:ACC8888,590,590,93%,1e-163,93.86,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM549635.1?report=genbank&log$=nucltop&blast_rank=32&RID=8GJEE4XV016"",""KM549635.1"")"
"Bucculatrix artemisiella voucher MM03946 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix artemisiella,590,590,94%,1e-163,93.45,637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872246.1?report=genbank&log$=nucltop&blast_rank=33&RID=8GJEE4XV016"",""HM872246.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07391-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,588,588,99%,3e-163,92.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT138185.1?report=genbank&log$=nucltop&blast_rank=34&RID=8GJEE4XV016"",""KT138185.1"")"
"Bucculatricidae sp. BIOUG21764-H09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatricidae sp. BIOUG21764-H09,582,582,99%,2e-161,91.85,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG467308.1?report=genbank&log$=nucltop&blast_rank=35&RID=8GJEE4XV016"",""MG467308.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07391-H08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,582,582,99%,2e-161,91.85,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT128937.1?report=genbank&log$=nucltop&blast_rank=36&RID=8GJEE4XV016"",""KT128937.1"")"
"Bucculatrix sp. BOLD:AAI3852 voucher BIOUG03071-H02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAI3852,582,582,99%,2e-161,91.85,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550704.1?report=genbank&log$=nucltop&blast_rank=37&RID=8GJEE4XV016"",""KM550704.1"")"
"Bucculatrix liubaensis voucher HAUHL017560 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix liubaensis,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK583315.1?report=genbank&log$=nucltop&blast_rank=38&RID=8GJEE4XV016"",""MK583315.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07212-E01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,577,577,99%,8e-160,91.61,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT146808.1?report=genbank&log$=nucltop&blast_rank=39&RID=8GJEE4XV016"",""KT146808.1"")"
