Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Stigmella prunetorum voucher UKLB39A05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella prunetorum,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043486.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GMN8PEH013"",""KX043486.1"")"
"Stigmella prunetorum voucher MM19318 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella prunetorum,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283990.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GMN8PEH013"",""JN283990.1"")"
"Stigmella prunetorum voucher RMNH.INS.11242 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella prunetorum,767,767,99%,0.0,100.00,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281319.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GMN8PEH013"",""KX281319.1"")"
"Stigmella sp. voucher BIOUG24505-B06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp.,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM591506.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GMN8PEH013"",""OM591506.1"")"
"Stigmella sp. voucher BIOUG22914-C01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp.,612,612,100%,2e-170,93.06,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM547305.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GMN8PEH013"",""OM547305.1"")"
"Stigmella sp. voucher BIOUG14044-E11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp.,606,606,100%,1e-168,92.82,608,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM554394.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GMN8PEH013"",""OM554394.1"")"
"Stigmella sp. voucher BIOUG24746-H09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp.,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM603858.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GMN8PEH013"",""OM603858.1"")"
"Stigmella sp. voucher BIOUG24842-E07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp.,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM601527.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GMN8PEH013"",""OM601527.1"")"
"Stigmella sp. voucher BIOUG22991-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp.,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM583880.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GMN8PEH013"",""OM583880.1"")"
"Stigmella sp. voucher BIOUG22914-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella sp.,606,606,100%,1e-168,92.82,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM547459.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GMN8PEH013"",""OM547459.1"")"
"Stigmella paradoxa voucher TLMF Lep 14683 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella paradoxa,573,573,100%,1e-158,91.39,620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP253217.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GMN8PEH013"",""KP253217.1"")"
"Stigmella freyella voucher RMNH.INS.11230 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella freyella,568,568,100%,5e-157,91.15,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281296.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GMN8PEH013"",""KX281296.1"")"
"Stigmella aceris voucher MM19320 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aceris,562,562,100%,2e-155,90.91,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN283992.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GMN8PEH013"",""JN283992.1"")"
"Stigmella aceris voucher RMNH.INS.11663 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aceris,556,556,99%,1e-153,90.84,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281383.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GMN8PEH013"",""KX281383.1"")"
"Stigmella rhoifoliella voucher RMNH.INS.18613 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella rhoifoliella,556,556,99%,1e-153,90.84,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281365.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GMN8PEH013"",""KX281365.1"")"
"Stigmella aceris voucher MM20728 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aceris,556,556,100%,1e-153,90.67,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782730.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GMN8PEH013"",""KT782730.1"")"
"Stigmella aceris voucher MM20600 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Stigmella aceris,556,556,100%,1e-153,90.67,618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX048790.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GMN8PEH013"",""KX048790.1"")"
