Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Elachista zernyi voucher MM16123 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,773,773,100%,0.0,100.00,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF809253.1?report=genbank&log$=nucltop&blast_rank=1&RID=8E8XF8GY016"",""KF809253.1"")"
"Elachista zernyi voucher KLM Lep 00254 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX046741.1?report=genbank&log$=nucltop&blast_rank=2&RID=8E8XF8GY016"",""KX046741.1"")"
"Elachista zernyi voucher MM18554 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF809311.1?report=genbank&log$=nucltop&blast_rank=3&RID=8E8XF8GY016"",""KF809311.1"")"
"Elachista zernyi voucher MM18555 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,767,767,100%,0.0,99.76,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF853357.1?report=genbank&log$=nucltop&blast_rank=4&RID=8E8XF8GY016"",""JF853357.1"")"
"Elachista zernyi voucher MM16127 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,761,761,100%,0.0,99.52,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847493.1?report=genbank&log$=nucltop&blast_rank=5&RID=8E8XF8GY016"",""JF847493.1"")"
"Elachista zernyi voucher MM16129 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847495.1?report=genbank&log$=nucltop&blast_rank=6&RID=8E8XF8GY016"",""JF847495.1"")"
"Elachista zernyi voucher MM20933 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF809246.1?report=genbank&log$=nucltop&blast_rank=7&RID=8E8XF8GY016"",""KF809246.1"")"
"Elachista zernyi voucher MM16130 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847496.1?report=genbank&log$=nucltop&blast_rank=8&RID=8E8XF8GY016"",""JF847496.1"")"
"Elachista zernyi voucher MM16124 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF847492.1?report=genbank&log$=nucltop&blast_rank=9&RID=8E8XF8GY016"",""JF847492.1"")"
"Elachista sp. BARS_2016_09_210 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista sp. BARS_2016_09_210,734,734,100%,0.0,98.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG364428.1?report=genbank&log$=nucltop&blast_rank=10&RID=8E8XF8GY016"",""MG364428.1"")"
"Elachista sp. BOLD:ACB7232 voucher BIOUG03102-B12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista sp. BOLD:ACB7232,734,734,100%,0.0,98.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM541693.1?report=genbank&log$=nucltop&blast_rank=11&RID=8E8XF8GY016"",""KM541693.1"")"
"Elachista zernyi voucher MM20932 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,730,730,97%,0.0,99.02,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF809308.1?report=genbank&log$=nucltop&blast_rank=12&RID=8E8XF8GY016"",""KF809308.1"")"
"Elachista sp. BOLD:ACB7232 voucher BIOUG06547-G07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista sp. BOLD:ACB7232,728,728,100%,0.0,98.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546638.1?report=genbank&log$=nucltop&blast_rank=13&RID=8E8XF8GY016"",""KM546638.1"")"
"Elachista zernyi voucher MM16122 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,708,708,91%,0.0,100.00,623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF809325.1?report=genbank&log$=nucltop&blast_rank=14&RID=8E8XF8GY016"",""KF809325.1"")"
"Elachista deriventa voucher MM14012 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista deriventa,706,706,100%,0.0,97.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875838.1?report=genbank&log$=nucltop&blast_rank=15&RID=8E8XF8GY016"",""HM875838.1"")"
"Elachista deriventa voucher MM14011 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista deriventa,701,701,100%,0.0,96.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875837.1?report=genbank&log$=nucltop&blast_rank=16&RID=8E8XF8GY016"",""HM875837.1"")"
"Elachista deriventa voucher MM14008 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista deriventa,701,701,100%,0.0,96.89,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875834.1?report=genbank&log$=nucltop&blast_rank=17&RID=8E8XF8GY016"",""HM875834.1"")"
"Elachista sp. BOLD:ACB7232 voucher BIOUG05153-C10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista sp. BOLD:ACB7232,686,686,93%,0.0,98.21,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546983.1?report=genbank&log$=nucltop&blast_rank=18&RID=8E8XF8GY016"",""KM546983.1"")"
"Elachista zernyi voucher BIOUG25293-C06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista zernyi,640,640,84%,9e-179,99.43,555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG363659.1?report=genbank&log$=nucltop&blast_rank=19&RID=8E8XF8GY016"",""MG363659.1"")"
"Elachista sp. 16MM voucher MM22599 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista sp. 16MM,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF809256.1?report=genbank&log$=nucltop&blast_rank=20&RID=8E8XF8GY016"",""KF809256.1"")"
"Elachista deriventa voucher MM04316 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista deriventa,638,638,91%,3e-178,96.85,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872376.1?report=genbank&log$=nucltop&blast_rank=21&RID=8E8XF8GY016"",""HM872376.1"")"
"Elachista sp. 10MM voucher MM20892 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista sp. 10MM,619,619,99%,1e-172,93.51,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF809362.1?report=genbank&log$=nucltop&blast_rank=22&RID=8E8XF8GY016"",""KF809362.1"")"
"Elachista elegans voucher MM21158 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista elegans,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF809233.1?report=genbank&log$=nucltop&blast_rank=23&RID=8E8XF8GY016"",""KF809233.1"")"
"Elachista elegans voucher MM10509 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista elegans,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874779.1?report=genbank&log$=nucltop&blast_rank=24&RID=8E8XF8GY016"",""HM874779.1"")"
"Elachista sp. JFL01 voucher 10-JDWBC-3970 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista sp. JFL01,601,601,100%,4e-167,92.58,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM865883.1?report=genbank&log$=nucltop&blast_rank=25&RID=8E8XF8GY016"",""HM865883.1"")"
"Elachista cana voucher BIOUG<CAN>:09BBLEP-00334 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Elachista cana,601,601,100%,4e-167,92.58,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU691841.1?report=genbank&log$=nucltop&blast_rank=26&RID=8E8XF8GY016"",""GU691841.1"")"
