Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Choristoneura hebenstreitella voucher TLMF Lep 02151 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura hebenstreitella,756,756,100%,0.0,99.28,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF859735.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNTKHYS013"",""JF859735.1"")"
"Choristoneura hebenstreitella voucher NHMO-08057 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura hebenstreitella,750,750,100%,0.0,99.04,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX049738.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNTKHYS013"",""KX049738.1"")"
"Choristoneura hebenstreitella voucher UKLB38B10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura hebenstreitella,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX043918.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNTKHYS013"",""KX043918.1"")"
"Choristoneura hebenstreitella voucher BC ZSM Lep 50707 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura hebenstreitella,750,750,100%,0.0,99.04,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX040512.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNTKHYS013"",""KX040512.1"")"
"Choristoneura hebenstreitella voucher JDDNA4535 cytochrome c oxidase subunit I gene, partial cds; mitochondrial",Choristoneura hebenstreitella,750,750,100%,0.0,99.04,1536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF703053.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNTKHYS013"",""JF703053.1"")"
"Choristoneura luticostana isolate DLS110709.106 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Choristoneura luticostana,717,717,100%,0.0,97.61,636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF049730.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNTKHYS013"",""MF049730.1"")"
"Choristoneura occidentalis group sp. JRD-2011 voucher 08-JDWBC-1999 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis group BOLD:AAA1517,701,701,100%,0.0,96.90,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ682790.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNTKHYS013"",""HQ682790.1"")"
"Choristoneura conflictana mitochondrion, complete genome",Choristoneura conflictana,695,695,100%,0.0,96.65,15541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_039421.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNTKHYS013"",""NC_039421.1"")"
"Choristoneura occidentalis mitochondrion, complete genome",Choristoneura occidentalis,695,695,100%,0.0,96.66,15536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_037393.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNTKHYS013"",""NC_037393.1"")"
"Choristoneura pinus voucher HLC-22695 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,695,695,100%,0.0,96.66,638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT141997.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNTKHYS013"",""KT141997.1"")"
"Choristoneura pinus voucher HLC-22601 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT137334.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GNTKHYS013"",""KT137334.1"")"
"Choristoneura occidentalis group sp. BOLD-2016 voucher 10BBCLP-2758 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis group sp. BOLD-2016,695,695,100%,0.0,96.66,649,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT130304.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GNTKHYS013"",""KT130304.1"")"
"Choristoneura occidentalis voucher 08BBLEP-04511 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,695,695,100%,0.0,96.66,631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM552491.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GNTKHYS013"",""KM552491.1"")"
"Choristoneura conflictana voucher 08BBLEP-01188 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura conflictana,695,695,100%,0.0,96.65,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM551220.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GNTKHYS013"",""KM551220.1"")"
"Choristoneura pinus voucher 10BBCLP-2760 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,695,695,100%,0.0,96.66,649,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550700.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GNTKHYS013"",""KM550700.1"")"
"Choristoneura pinus voucher 08BBLEP-03571 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM548278.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GNTKHYS013"",""KM548278.1"")"
"Choristoneura fumiferana voucher 08BBLEP-04280 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura fumiferana,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546567.1?report=genbank&log$=nucltop&blast_rank=17&RID=8GNTKHYS013"",""KM546567.1"")"
"Choristoneura fumiferana voucher 08BBLEP-04312 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura fumiferana,695,695,100%,0.0,96.66,637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546191.1?report=genbank&log$=nucltop&blast_rank=18&RID=8GNTKHYS013"",""KM546191.1"")"
"Choristoneura occidentalis voucher 08BBLEP-04940 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM540417.1?report=genbank&log$=nucltop&blast_rank=19&RID=8GNTKHYS013"",""KM540417.1"")"
"Choristoneura occidentalis group sp. JRD-2011 voucher 08-JDWBC-2778 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis group BOLD:AAA1517,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ682815.1?report=genbank&log$=nucltop&blast_rank=20&RID=8GNTKHYS013"",""HQ682815.1"")"
"Choristoneura conflictana haplotype COI cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Choristoneura conflictana,695,695,100%,0.0,96.65,1528,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT711521.1?report=genbank&log$=nucltop&blast_rank=21&RID=8GNTKHYS013"",""MT711521.1"")"
"Choristoneura occidentalis voucher GF_FS_OCCNA cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Choristoneura occidentalis,695,695,100%,0.0,96.66,1528,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT711305.1?report=genbank&log$=nucltop&blast_rank=22&RID=8GNTKHYS013"",""MT711305.1"")"
"Choristoneura occidentalis group sp. BOLD:AAA1517 voucher 10-JDWBC-4365 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis group BOLD:AAA1517,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM866314.1?report=genbank&log$=nucltop&blast_rank=23&RID=8GNTKHYS013"",""HM866314.1"")"
"Choristoneura sp. LALPA431-10 voucher BIOUG<CAN>:AVBC 433-10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura sp. LALPA431-10,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF852866.1?report=genbank&log$=nucltop&blast_rank=24&RID=8GNTKHYS013"",""JF852866.1"")"
"Choristoneura occidentalis voucher UBC-2007-0465 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412287.1?report=genbank&log$=nucltop&blast_rank=25&RID=8GNTKHYS013"",""FJ412287.1"")"
"Choristoneura occidentalis voucher UBC-2007-0827 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412301.1?report=genbank&log$=nucltop&blast_rank=26&RID=8GNTKHYS013"",""FJ412301.1"")"
"Choristoneura occidentalis voucher UBC-2007-0921 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412297.1?report=genbank&log$=nucltop&blast_rank=27&RID=8GNTKHYS013"",""FJ412297.1"")"
"Choristoneura occidentalis voucher UBC-2007-0467 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,695,695,100%,0.0,96.66,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ412285.1?report=genbank&log$=nucltop&blast_rank=28&RID=8GNTKHYS013"",""FJ412285.1"")"
Picea sitchensis clone WS0274_C01 unknown mRNA,Picea sitchensis,695,695,100%,0.0,96.66,1545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/BT070772.1?report=genbank&log$=nucltop&blast_rank=29&RID=8GNTKHYS013"",""BT070772.1"")"
"Choristoneura conflictana voucher 08BBLEP-00898 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura conflictana,689,689,100%,0.0,96.41,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT147347.1?report=genbank&log$=nucltop&blast_rank=30&RID=8GNTKHYS013"",""KT147347.1"")"
"Choristoneura pinus voucher HLC-22242 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT146689.1?report=genbank&log$=nucltop&blast_rank=31&RID=8GNTKHYS013"",""KT146689.1"")"
"Choristoneura pinus voucher HLC-20689 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT134576.1?report=genbank&log$=nucltop&blast_rank=32&RID=8GNTKHYS013"",""KT134576.1"")"
"Choristoneura pinus voucher HLC-22693 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT134247.1?report=genbank&log$=nucltop&blast_rank=33&RID=8GNTKHYS013"",""KT134247.1"")"
"Choristoneura pinus voucher HLC-22504 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT132508.1?report=genbank&log$=nucltop&blast_rank=34&RID=8GNTKHYS013"",""KT132508.1"")"
"Choristoneura pinus voucher HLC-22507 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT130551.1?report=genbank&log$=nucltop&blast_rank=35&RID=8GNTKHYS013"",""KT130551.1"")"
"Choristoneura occidentalis voucher HLC-23233 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129042.1?report=genbank&log$=nucltop&blast_rank=36&RID=8GNTKHYS013"",""KT129042.1"")"
"Choristoneura conflictana voucher MNBTT-1957 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura conflictana,689,689,100%,0.0,96.41,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT127997.1?report=genbank&log$=nucltop&blast_rank=37&RID=8GNTKHYS013"",""KT127997.1"")"
"Choristoneura conflictana voucher MNBTT-1962 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura conflictana,689,689,100%,0.0,96.41,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT127979.1?report=genbank&log$=nucltop&blast_rank=38&RID=8GNTKHYS013"",""KT127979.1"")"
"Choristoneura pinus voucher 08BBLEP-04471 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM553190.1?report=genbank&log$=nucltop&blast_rank=39&RID=8GNTKHYS013"",""KM553190.1"")"
"Choristoneura occidentalis voucher 08BBLEP-04928 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,689,689,100%,0.0,96.42,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM552746.1?report=genbank&log$=nucltop&blast_rank=40&RID=8GNTKHYS013"",""KM552746.1"")"
"Choristoneura pinus voucher 08BBLEP-04449 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,689,689,100%,0.0,96.42,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM549220.1?report=genbank&log$=nucltop&blast_rank=41&RID=8GNTKHYS013"",""KM549220.1"")"
"Choristoneura occidentalis voucher 08BBLEP-02301 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura occidentalis,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM548264.1?report=genbank&log$=nucltop&blast_rank=42&RID=8GNTKHYS013"",""KM548264.1"")"
"Choristoneura pinus voucher 08BBLEP-04918 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Choristoneura pinus,689,689,100%,0.0,96.42,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM543830.1?report=genbank&log$=nucltop&blast_rank=43&RID=8GNTKHYS013"",""KM543830.1"")"
