Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Aglais ladakensis mitochondrion, complete genome",Nymphalis ladakensis,606,606,99%,1e-168,93.01,15222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN732892.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNTKHYS013"",""MN732892.1"")"
"Aglais ladakensis voucher AL3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Nymphalis ladakensis,606,606,99%,1e-168,93.01,1450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY128338.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNTKHYS013"",""KY128338.1"")"
"Nymphalis urticae genome assembly, chromosome: 24",Nymphalis urticae,582,582,93%,2e-161,93.62,9827152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR990007.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNTKHYS013"",""LR990007.1"")"
"Nymphalis urticae genome assembly, chromosome: 22",Nymphalis urticae,582,785,99%,2e-161,92.29,9996451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR990005.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNTKHYS013"",""LR990005.1"")"
"Aglais milberti voucher CBjS07-1221o cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nymphalis milberti,579,579,99%,2e-160,91.81,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT130679.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNTKHYS013"",""KT130679.1"")"
"Aglais ichnusa voucher RVcoll.11-E500.1 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nymphalis ichnusa,573,573,99%,1e-158,91.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH419627.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNTKHYS013"",""MH419627.1"")"
"Aglais ichnusa voucher RVcoll.11-E522 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nymphalis ichnusa,573,573,99%,1e-158,91.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH418974.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNTKHYS013"",""MH418974.1"")"
"Aglais ichnusa voucher RVcoll.13-T222 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nymphalis ichnusa,573,573,99%,1e-158,91.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH418510.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNTKHYS013"",""MH418510.1"")"
"Aglais milberti voucher AM3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Nymphalis milberti,573,573,99%,1e-158,91.57,1450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY128339.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNTKHYS013"",""KY128339.1"")"
"Aglais ichnusa voucher AIC1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",Nymphalis ichnusa,573,573,99%,1e-158,91.57,651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY128336.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNTKHYS013"",""KY128336.1"")"
"Polygonia faunus haplotype am_9342 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Nymphalis faunus,573,573,99%,1e-158,91.57,1452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY318760.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GNTKHYS013"",""KY318760.1"")"
"Polygonia faunus haplotype am_9341 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Nymphalis faunus,573,573,99%,1e-158,91.57,1452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY318759.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GNTKHYS013"",""KY318759.1"")"
"Nymphalis milberti cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Nymphalis milberti,573,573,99%,1e-158,91.57,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX281189.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GNTKHYS013"",""KX281189.1"")"
"Aglais milberti voucher BIOUG<CAN>:10BBCLP-0042 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nymphalis milberti,573,573,99%,1e-158,91.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF841087.1?report=genbank&log$=nucltop&blast_rank=14&RID=8GNTKHYS013"",""JF841087.1"")"
"Aglais milberti voucher BIOUG<CAN>:2005-ONT-494 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nymphalis milberti,573,573,99%,1e-158,91.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU438712.1?report=genbank&log$=nucltop&blast_rank=15&RID=8GNTKHYS013"",""GU438712.1"")"
"Aglais urticae voucher GBIFCH-BOL_LEPAA_0264 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Nymphalis urticae,568,568,99%,5e-157,91.33,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK186083.1?report=genbank&log$=nucltop&blast_rank=16&RID=8GNTKHYS013"",""MK186083.1"")"
