Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bucculatrix humiliella voucher MM04046 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix humiliella,706,706,100%,0.0,97.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872295.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""HM872295.1"")"
"Bucculatrix sp. BOLD:AAG1164 voucher 08BBLEP-03007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAG1164,640,640,100%,9e-179,94.26,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM547886.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GJEE4XV016"",""KM547886.1"")"
"Bucculatrix sp. BIOUG20714-B09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20714-B09,634,634,100%,4e-177,94.02,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG498920.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GJEE4XV016"",""MG498920.1"")"
"Bucculatrix sp. BIOUG20714-D10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20714-D10,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG506629.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GJEE4XV016"",""MG506629.1"")"
"Bucculatrix sp. BIOUG20477-E03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BIOUG20477-E03,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG500582.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GJEE4XV016"",""MG500582.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07213-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT129273.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GJEE4XV016"",""KT129273.1"")"
"Bucculatrix atagina voucher TLMF Lep 03961 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix atagina,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN307767.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GJEE4XV016"",""JN307767.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07791-C09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT135850.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GJEE4XV016"",""KT135850.1"")"
"Bucculatrix sp. BOLD-2016 voucher BIOUG07047-H08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD-2016,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT131637.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GJEE4XV016"",""KT131637.1"")"
"Bucculatrix sp. BOLD:AAI3852 voucher BIOUG03071-H02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix sp. BOLD:AAI3852,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM550704.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GJEE4XV016"",""KM550704.1"")"
"Bucculatrix ratisbonensis voucher MM23964 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Bucculatrix ratisbonensis,623,623,100%,1e-173,93.54,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ608346.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GJEE4XV016"",""MZ608346.1"")"
